text_original	text_random	text_role_rev	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_rand	answerA	answerA_syn	answerB	answerB_syn	correctAnswer	Name_A	Name_B
The delivery truck zoomed by the school bus because   it was going so fast .	In the autumn of 1959 , the British Broadcasting Corporation presented a series of talks by four scientists competent in cosmology . The delivery truck zoomed by the school bus because it was going so fast . Denver itself collects a 1% sales tax which is to be absorbed in the higher area tax .		the delivery truck , which we had seen parked by the red car , zoomed by the school bus because it was going so fast .	the van zoomed by the coach because   it was going so fast .	The school bus was zoomed by by the delivery truck because it was going so fast .	it	9	11	7	20	31	the delivery truck	the van	the school bus	the coach	A .		
The delivery truck zoomed by the school bus because   it was going so slow .	At last the White House is going to get some much-copied furniture by that master American craftsman , Duncan Phyfe , whose designs were snubbed in his lifetime when the U. S. Presidents of the 19th Century sent abroad for their furnishings . The delivery truck zoomed by the school bus because it was going so slow . Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ? ?		the delivery truck , which she had seen parked by the red car , zoomed by the school bus because it was going so slow .	the van zoomed by the coach because   it was going so slow .	The school bus was zoomed by by the delivery truck because it was going so slow .	it	9	11	7	20	52	the delivery truck	the van	the school bus	the coach	B .		
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition .	With a lefthander going for Pittsburgh , I may use Don Taussig in center '' . Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition . As he signed his scorecard and walked off the course , Player was almost in tears .		frank , who we know from the dinner party at lenny's , felt vindicated when his longtime rival bill revealed that he was the winner of the competition .	victor felt vindicated when his longtime rival john revealed that he was the winner of the competition .	-	he	10	-	10	21	26	frank	victor	bill	john	A .		
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition .	Ike's somewhat like George Washington . Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition . A GOP `` task force ' committee will seek to find out how its party may win support from the ethnic and minority groups in cities .		frank , which we had seen at the dinner party at lenny's , felt crushed when his longtime rival bill revealed that he was the winner of the competition .	victor felt crushed when his longtime rival john revealed that he was the winner of the competition .	-	he	10	-	10	22	16	frank	victor	bill	john	B .		
The man couldn't lift his son because  he was so weak .	The continued operation of this program depends on having his service '' . The man couldn't lift his son because he was so weak . Nearly all of the farm equipment manufacturers and dealers say the upturn in sales has resulted chiefly from the recent improvement in crop prospects .		the man , which we had seen walk by with his nephew , couldn't lift his son because he was so weak .	the adult couldn't lift the child because  he was so weak .	The son couldn't be lifted by the man because he was so weak .	he	7	9	7	4	20	the man	the adult	the son	the child	A .		
The man couldn't lift his son because  he was so heavy .	He was able to smell a bargain -- and a masterpiece -- a continent away , and the Museum of Modern Art's Alfred Barr said of him : `` I have never mentioned a new artist that Thompson didn't know about '' . The man couldn't lift his son because he was so heavy . An out-of-town writer came up to Paul Richards today and asked the Oriole manager if he thought his ball club would be improved this year .		the man , which you had seen walk by with his nephew , couldn't lift his son because he was so heavy .	the adult couldn't lift the child because  he was so heavy .	The son couldn't be lifted by the man because he was so heavy .	he	7	9	7	18	50	the man	the adult	the son	the child	B .		
The large ball crashed right through the table because  it was made of steel .	He said that drawings of the Dreadnought and printed details about the ship were found reproduced in an undeveloped roll of film taken from Lonsdale when he was arrested with the two civil servants outside the Old Vic theater Saturday afternoon , Jan. 7 . The large ball crashed right through the table because it was made of steel . The spy ring also was particularly interested in ASDIC , the underwater equipment for detecting submarines , it was testified .		the large ball , which we had seen on the floor , crashed right through the table because it was made of steel .	the large sphere crashed right through the bench because  it was made of steel .	The table was crashed through by the large ball because it was made of steel .	it	9	10	9	18	54	the large ball	the large sphere	the table	the bench	A .		
The large ball crashed right through the table because  it was made of styrofoam .	Where was the driver now ? ? The large ball crashed right through the table because it was made of styrofoam . Lumpe errs		the large ball , which you had seen on the floor , crashed right through the table because it was made of styrofoam .	the large sphere crashed right through the bench because  it was made of styrofoam .	The table was crashed through by the large ball because it was made of styrofoam .	it	9	10	9	18	16	the large ball	the large sphere	the table	the bench	B .		
John couldn't see the stage with Billy in front of him because he is so short .	Louis 14 , -- Aj . John couldn't see the stage with Billy in front of him because he is so short . There will be a large drawing of a sunbonnet girl with eyes that flash at the guests .		john , who you know from last week's meeting with larry , couldn't see the stage with billy in front of him because he is so short .	luke couldn't see the stage with adam in front of him because he is so short .	The stage couldn't be seen by John with Billy in front of him because he is so short .	he	12	14	12	23	18	john	luke	billy	adam	A .		
John couldn't see the stage with Billy in front of him because he is so tall .	And in a series of bitterly fought battles in the jungles and hills and along the great rivers of Burma he waged one of the most brilliant campaigns of the war . John couldn't see the stage with Billy in front of him because he is so tall . Bake slowly about one hour at 250-275 F. until lightly brown .		john , which you had seen at last week's meeting with larry , couldn't see the stage with billy in front of him because he is so tall .	luke couldn't see the stage with adam in front of him because he is so tall .	The stage couldn't be seen by John with Billy in front of him because he is so tall .	he	12	14	12	24	44	john	luke	billy	adam	B .		
Tom threw his schoolbag down to Ray after  he reached the top of the stairs .	At Jenks Street , Simms said , the car skidded completely around , just missed two parked cars , and sped east in Jenks . Tom threw his schoolbag down to Ray after he reached the top of the stairs . Advise And Consent , lively but shallow theater drawn from the mountainously detailed bestseller ; ;		tom , who you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the top of the stairs .	ted threw his schoolbag down to clark after  he reached the top of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the top of the stairs .	he	8	10	8	19	33	tom	ted	ray	clark	A		
Tom threw his schoolbag down to Ray after  he reached the bottom of the stairs .	Deadly deadlock . Tom threw his schoolbag down to Ray after he reached the bottom of the stairs . Also on the bill at the Fifty-fifth Street is a nice ten-minute color film called `` Sunday In Greenwich Village '' , a tour of the haunts and joints .		tom , who you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the bottom of the stairs .	ted threw his schoolbag down to clark after  he reached the botted of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the bottom of the stairs .	he	8	10	8	19	11	tom	ted	ray	clark	B		
Although they ran at about the same speed ,  Sue beat Sally because   she had such a good start .	And little Zeme North , a Dora with real spirit and verve , was fascinating whether she was singing of her love for Floyd , the cop who becomes sewer commissioner and then is promoted into garbage , or just dancing to display her exuberant feelings . Although they ran at about the same speed , Sue beat Sally because she had such a good start . Washington , Feb. 9		although they ran at about the same speed , sue , which he had seen pass through with patty , beat sally because she had such a good start .	although they ran at about the same speed ,  fanny beat dana because   she had such a good start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a good start .	she	13	15	13	23	60	sue	fanny	sally	dana	A		
Although they ran at about the same speed ,  Sue beat Sally because   she had such a bad start .	The tower cleared the plane for take-off at 8 a.m. , and Captain Rickards began taxiing toward the runway . Although they ran at about the same speed , Sue beat Sally because she had such a bad start . It shows what a beautiful city Newark will become and certainly make every Newarker proud of this city .		although they ran at about the same speed , sue , which you had seen pass through with patty , beat sally because she had such a bad start .	although they ran at about the same speed ,  fanny beat dana because   she had such a bad start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a bad start .	she	13	15	13	23	33	sue	fanny	sally	dana	B		
The sculpture rolled off the shelf because   it wasn't anchored .	She : `` By subway or cab '' ? ? The sculpture rolled off the shelf because it wasn't anchored . as halfbacks , both came close to playing football at the University of Oklahoma ( `` Sometimes in the minors '' , Maris recalls , `` I wished I had gone to Oklahoma '' ) .		the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't anchored .	the mold rolled off the rack because   it wasn't anchored .	-	it	7	-	7	16	17	the sculpture	the mold	the shelf	the rack	A		
The sculpture rolled off the shelf because   it wasn't level .	Glimco a buddy The sculpture rolled off the shelf because it wasn't level . Mantle is not normally given to public speaking -- or , for that matter , to private speaking .		the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't level .	the mold rolled off the rack because   it wasn't level .	-	it	7	-	7	16	10	the sculpture	the mold	the shelf	the rack	B		
Sam's drawing was hung just above Tina's and   it did look much better with another one below it .	we need 100 in Rhode Island , we have none '' , he said . Sam's drawing was hung just above Tina's and it did look much better with another one below it . When Dr. W. A. Swim celebrated his 75th birthday at the Wilshire Country Club , guests came by chartered plane from all over the country .		sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one below it .	arthur's drawing was hung just above molly's and   it did look much better with another one below it .	-	it	8	-	8	17	23	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	A		
Sam's drawing was hung just above Tina's and   it did look much better with another one above it .	However , Biblical scholars frequently attested to its numerous inaccuracies , as old manuscripts were uncovered and scholarship advanced . Sam's drawing was hung just above Tina's and it did look much better with another one above it . Miss Hardwick speaks of his `` superb gift for intellectual friendship '' , and it is certainly a joy to see the intellectual life lived so free from either academic aridity or passionate dogmatism .		sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one above it .	arthur's drawing was hung just above molly's and   it did look much better with another one above it .	-	it	8	-	8	17	28	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	B		
Anna did a lot better than her good friend Lucy on the test because   she had studied so hard .	`` I never knew there were such neighbors and friends around me and my family . Anna did a lot better than her good friend Lucy on the test because she had studied so hard . There is one thing I know ; ;		anna , who you know from our brunch with sally last week , did a lot better than her good friend lucy on the test because she had studied so hard .	heather did a lot better than her good friend lara on the test because   she had studied so hard .	-	she	14	-	14	26	30	anna	heather	lucy	lara	A		
Anna did a lot worse than her good friend Lucy on the test because   she had studied so hard .	However , Montgomery makes little contribution to leadership theory and practice . Anna did a lot worse than her good friend Lucy on the test because she had studied so hard . Arnold Palmer , the defending champion , lost his title on the 72nd hole after a few minutes of misfortune that left even his fellow pros gaping in disbelief .		anna , which he had seen at the brunch with sally last week , did a lot worse than her good friend lucy on the test because she had studied so hard .	heather did a lot worse than her good friend lara on the test because   she had studied so hard .	-	she	14	-	14	27	26	anna	heather	lucy	lara	B		
The firemen arrived after the police because   they were coming from so far away .	They do our country great harm by such actions . The firemen arrived after the police because they were coming from so far away . Mitchell employs a total of about 400 people .		the firemen , which you had seen rush past the red delivery van , arrived after the police because they were coming from so far away .	the engineman arrived after the cops because   they were coming from so far away .	-	they	7	-	7	19	17	the firemen	the engineman	the police	the cops	A		
The firemen arrived before the police because   they were coming from so far away .	Basic reference tools are the backbone of the collection , but there is also specialization in science and technology , an indicated weakness in local libraries . The firemen arrived before the police because they were coming from so far away . Rep. Charles E. Hughes of Sherman , sponsor of the bill , said a failure to enact it would amount `` to making a gift out of the taxpayers' pockets to banks , insurance and pipeline companies '' .		the firemen , which she had seen rush past the red delivery van , arrived before the police because they were coming from so far away .	the engineman arrived before the cops because   they were coming from so far away .	-	they	7	-	7	19	34	the firemen	the engineman	the police	the cops	B		
Frank was upset with Tom because the toaster  he had bought from him didn't work .	Gen. Maxwell Taylor's statement in Saigon that he is `` very much encouraged '' about the chances of the pro-Western government of Viet Nam turning back Communist guerrilla attacks comes close to an announcement that he will not recommend dispatching United States troops to bolster the Vietnamese Army . Frank was upset with Tom because the toaster he had bought from him didn't work . Where only one club existed before , he says , two will flourish henceforth .		frank , which we had seen at jon's bar mitzvah , was upset with tom because the toaster he had bought from him didn't work .	freddy was upset with travis because the toaster  he had bought from him didn't work .	-	he	8	-	8	18	57	frank	freddy	tom	travis	A		
Frank was upset with Tom because the toaster  he had sold him didn't work .	It is a killer sub -- that is , a hunter of enemy subs . Frank was upset with Tom because the toaster he had sold him didn't work . A capsule view of proposed plans includes :		frank , which we had seen at jon's bar mitzvah , was upset with tom because the toaster he had sold him didn't work .	freddy was upset with travis because the toaster  he had sold him didn't work .	-	he	8	-	8	3	23	frank	freddy	tom	travis	B		
Jim yelled at Kevin because  he was so upset .	Rembrandt's `` Aristotle Contemplating Bust of Homer '' brought $2,300,000 at auction the other night . Jim yelled at Kevin because he was so upset . Pass In Review practically guarantees enjoyment , and is a dramatic demonstration of the potentialities of any stereo music system .		jim , who we know from last month's squash game against bryan , yelled at kevin because he was so upset .	jerry yelled at larry because  he was so upset .	Kevin was yelled at by Jim because he was so upset .	he	5	7	5	17	21	jim	jerry	kevin	larry	A		
Jim comforted Kevin because  he was so upset .	His people ( see color ) are angular and knobby-knuckled , sometimes painfully stretched , sometimes grotesquely foreshortened . Jim comforted Kevin because he was so upset . Now listen closely :		jim , who we know from last month's squash game against bryan , comforted kevin because he was so upset .	jerry comforted larry because  he was so upset .	Kevin was comforted by Jim because he was so upset .	he	4	6	4	16	23	jim	jerry	kevin	larry	B		
The sack of potatoes had been placed above the bag of flour ,  so  it had to be moved first .	Fred Mullen from Mercer Island , Wash. ; ; The sack of potatoes had been placed above the bag of flour , so it had to be moved first . `` The windshield looks pretty clean '' .		the sack of potatoes , that is mentioned in the list of groceries  , had been placed above the bag of flour , so it had to be moved first .	the package of potatoes had been placed above the packet of flour ,  so  it had to be moved first .	-	it	13	-	14	24	22	the sack of potatoes	the package of potatoes	the bag of flour	the packet of flour	A		
The sack of potatoes had been placed below the bag of flour ,  so  it had to be moved first .	No plunkers for him '' . The sack of potatoes had been placed below the bag of flour , so it had to be moved first . An archery tournament will be held at North Falmouth , Mass. ( Sept. 23 , 24 ) .		the sack of potatoes , that is mentioned in the list of groceries , had been placed below the bag of flour , so it had to be moved first .	the package of potatoes had been placed below the packet of flour ,  so  it had to be moved first .	-	it	13	-	14	24	19	the sack of potatoes	the package of potatoes	the bag of flour	the packet of flour	B		
Pete envies Martin although  he is very successful .	It is just bad luck that we are having the party in a month with no R's , so no oysters . Pete envies Martin although he is very successful . I am prepared to demonstrate at anytime that it represents the spirit of Imperial Russia in its most vulgar , infantile , and reactionary aspect ; ;		pete , who you know from an event at bob's office , envies martin although he is very successful .	dick envies gareth although  he is very successful .	Martin is envied by Pete although he is very successful .	he	4	6	4	15	26	pete	dick	martin	gareth	A		
Pete envies Martin because  he is very successful .	He succeeds Buck Shaw , who retired at the end of last season . Pete envies Martin because he is very successful . But a great many of what Variety calls the `` Cooch Terpers '' are considerably less cosmic than that .		pete , who you know from an event at bob's office , envies martin because he is very successful .	dick envies gareth because  he is very successful .	Martin is envied by Pete because he is very successful .	he	4	6	4	3	18	pete	dick	martin	gareth	B		
The older students were bullying the younger ones ,  so we punished  them .	You can't expect it , though . The older students were bullying the younger ones , so we punished them . Against the dramatic fight being waged for preservation of 30 miles of Cape Cod shoreline , the tiny tract at Stone Harbor may seem unimportant .		the older students , who she had discussed with the teacher , were bullying the younger ones , so we punished them .	the older pupils were bullying the younger ones ,  so we punished  them .	The younger students were being bullied by the older ones , so we punished them .	them	12	14	12	21	19	the older students	the older pupils	the younger students	the younger pupils	A		
The older students were bullying the younger ones ,  so we rescued them .	Toward socialism The older students were bullying the younger ones , so we rescued them . At New Orleans , 25-mile-square Lake Pontchartrain has few squalls and year-long boating .		the older students , who she had discussed with the teacher , were bullying the younger ones , so we rescued them .	the older pupils were bullying the younger ones ,  so we rescued them .	The younger students were being bullied by the older ones , so we rescued them .	them	12	14	12	21	14	the older students	the older pupils	the younger students	the younger pupils	B		
I poured water from the bottle into the cup until   it was empty .	They will be for teaching , agriculture and community development in Southeast Asia , Africa , the Middle East and Latin America . I poured water from the bottle into the cup until it was empty . Under the capable direction of the choir's founder , Geroge Bragg , the twenty-six boys made some lovely sounds in an opening group of Renaissance and Baroque madrigals and motets , excerpts from Pergolesi's `` Stabat Mater '' and all of the Britten `` Ceremonial Of Carols '' .		i poured water from the bottle , which he had seen beside the six-pack of beer , into the cup until it was empty .	i poured water from the jar into the glass until   it was empty .	Water was poured from the bottle into the cup by me until it was empty .	it	10	12	10	21	33	the bottle	the jar	the cup	the glass	A		
I poured water from the bottle into the cup until   it was full .	-- and His exaltation to the right hand of God . I poured water from the bottle into the cup until it was full . -- The granting of the Jan Masaryk award August 13 to Senator Paul Douglas is a bitter example of misleading minorities .		i poured water from the bottle , which she had seen beside the six-pack of beer , into the cup until it was full .	i poured water from the jar into the glass until   it was full .	Water was poured from the bottle into the cup by me until it was full .	it	10	12	10	21	21	the bottle	the jar	the cup	the glass	B		
Susan knows all about Ann's personal problems because   she is nosy .	The federal lawyers , according to their witnesses , also were tracing Stein's fees as a labor consultant . Susan knows all about Ann's personal problems because she is nosy . When he was unable to bring about immediate expansion , he sought to convince another National League club to move here .		susan , who you know from barbara's cooking tv show , knows all about ann's personal problems because she is nosy .	tara knows all about polly's personal problems because   she is nosy .	Ann's personal problems are known all about by Susan because she is nosy .	she	8	10	8	18	27	susan	tara	ann	polly	A		
Susan knows all about Ann's personal problems because   she is indiscreet .	London explains that the very distinct directional effect in the Phase 4 series is due in large part to their novel methods of microphoning and recording the music on a number of separate tape channels . Susan knows all about Ann's personal problems because she is indiscreet . Just a brief note of appreciation to Vice President Johnson and Pakistani camel driver Bashir Ahmad for providing a first-class example of `` people to people '' good will .		susan , who you know from barbara's cooking tv show , knows all about ann's personal problems because she is indiscreet .	tara knows all about polly's personal problems because   she is indiscreet .	Ann's personal problems are known all about by Susan because she is indiscreet .	she	8	10	8	3	44	susan	tara	ann	polly	B		
Sid explained his theory to Mark but   he couldn't convince him .	If the Orioles are to break their losing streak within the next two days , it will have to be at the expense of the American League champion New York Yankees , who come in here tomorrow for a night game and a single test Sunday afternoon . Sid explained his theory to Mark but he couldn't convince him . `` Then cometh Jesus from Galilee to Jordan unto John , to be baptized of him .		sid , which we had seen on the discussion panel with chris , explained his theory to mark but he couldn't convince him .	john explained his theory to jad but   he couldn't convince him .	The theory was explained by Sid to Mark but he couldn't convince him .	he	7	9	7	3	55	sid	john	mark	jad	A		
Sid explained his theory to Mark but   he couldn't understand him .	This excellent foreign bomb takes only six . Sid explained his theory to Mark but he couldn't understand him . Slogan of the John Birch Society : `` Paddle your own canoe .		sid , who we know from the discussion panel with chris , explained his theory to mark but he couldn't understand him .	john explained his theory to jad but   he couldn't understand him .	The theory was explained by Sid to Mark but he couldn't understand him .	he	7	9	7	18	15	sid	john	mark	jad	B		
Susan knew that Ann's son had been in a car accident ,  so she told her about it .	Republicans Susan knew that Ann's son had been in a car accident , so she told her about it . The British defending lawyers , who today increased from three to four , demanded to know if they could make the information involved seem of little value to a jury , the chances of their clients would improve .		susan , who you know from the skiing trip with clara , knew that ann's son had been in a car accident , so she told her about it .	kara knew that suzy's son had been in a car accident ,  so she told her about it .	It was known by Susan that Ann's son had been in a car accident , so she told her about it .	she	13	16	13	24	14	susan	kara	ann	suzy	A		
Susan knew that Ann's son had been in a car accident ,  because she told her about it .	In addition , the motor has the seal of approval of the Underwriters Laboratories , which means it is safe . Susan knew that Ann's son had been in a car accident , because she told her about it . His dream goes .		susan , who we know from the skiing trip with clara , knew that ann's son had been in a car accident , because she told her about it .	kara knew that suzy's son had been in a car accident ,  because she told her about it .	It was known by Susan that Ann's son had been in a car accident , because she told her about it .	she	13	16	13	24	34	susan	kara	ann	suzy	B		
Joe's uncle can still beat him at tennis ,  even though   he is 30 years younger .	He is basing his guess on new government statistics that show business has broadened its stride -- a new record high in personal income , an increase in housing starts , a spurt in retail sales and a gain in orders for durable goods . Joe's uncle can still beat him at tennis , even though he is 30 years younger . South Philadelphia High's principal added that the current delay was caused by the `` pressure '' of a movie that the toneless lad was making .		Joe's uncle , who you met with his nephew last week , can still beat him at tennis , even though he is 30 years younger .	pim's uncle can still beat him at tennis ,  even though   he is 30 years younger .	Joe can still be beaten at tennis by his uncle , even though he is 30 years younger .	he	11	13	11	21	56	joe	pim	joe's uncle	pim's uncle	A		
Joe's uncle can still beat him at tennis ,  even though   he is 30 years older .	I'm ruddy lazy , and I'm getting on in years . Joe's uncle can still beat him at tennis , even though he is 30 years older . Those union members kept on their jobs , therefore , will not take a cut in their wages .		Joe's uncle , who you met with his nephew last week , can still beat him at tennis , even though he is 30 years older .	pim's uncle can still beat him at tennis ,  even though   he is 30 years older .	Joe can still be beaten at tennis by his uncle , even though he is 30 years older .	he	11	13	11	21	22	joe	pim	joe's uncle	pim's uncle	B		
The painting in Mark's living room shows an oak tree .   it is to the right of the bookcase .	No matter how hot the day , they are dressed properly and not in shorts . The painting in Mark's living room shows an oak tree . it is to the right of the bookcase . What the moments reveal		the painting , that is close to the birdcage by the window , in mark's living room shows an oak tree . it is to the right of the bookcase .	the picture in mark's living room shows a tulip tree .   it is to the right of the bookcase .	An oak tree is shown in the painting in Mark's living room . it is to the right of the bookcase .	it	11	13	11	22	27	the painting	the picture	the oak tree	the tulip tree	A		
The painting in Mark's living room shows an oak tree .   it is to the right of a house .	A more dangerous formula for national frustration cannot be imagined . The painting in Mark's living room shows an oak tree . it is to the right of a house . This was perhaps symbolic of the jazz of the evening -- flashes in the distance , but no storm .		the painting , that is close to the birdcage by the window , in mark's living room shows an oak tree . it is to the right of a house .	the picture in mark's living room shows an tulip tree .   it is to the right of a house .	An oak tree is shown in the painting in Mark's living room . it is to the right of a house .	it	11	13	11	22	22	the painting	the picture	the oak tree	the tulip tree	B		
There is a gap in the wall .  You can see the garden through   it .	Saxton has made only one second-half appearance this season and that was in the Washington State game , for four plays : he returned the kickoff 30 yards , gained five yards through the line and then uncorked a 56-yard touchdown run before retiring to the bench . There is a gap in the wall . You can see the garden through it . U.S. Dist. Judge Charles L. Powell denied all motions made by defense attorneys Monday in Portland's insurance fraud trial .		There is a gap , that is wider than a kitchen sink drain , in the wall . You can see the garden through it .	there is a hole in the partition .  you can see the garden through   it .	There is a gap in the wall . The garden can be seen through it .	it	14	14	14	24	62	the gap	the hole	the wall	the partition	A		
There is a gap in the wall .  You can see the garden behind  it .	The President said he will ask Congress to increase grants to states for vocational rehabilitation . There is a gap in the wall . You can see the garden behind it . Solly Hemus announced a switch in his starting pitcher , from Bob Gibson to Ernie Broglio , for several reasons : 1 Broglio's 4-0 won-lost record and 1.24 earned-run mark against Pittsburgh a year ago ; ;		There is a gap , that is wider than a kitchen sink drain , in the wall . You can see the garden behind it .	there is a hole in the partition .  you can see the garden behind  it .	There is a gap in the wall . The garden can be seen behind it .	it	14	14	14	24	30	the gap	the hole	the wall	the partition	B		
The drain is clogged with hair .    It has to be cleaned .	Thus he will be in a position to disabuse the Soviet leader of any notions he may have about grave Allied disunity . The drain is clogged with hair . It has to be cleaned . The result : $1.1 billion added to the deficit in the federal budget .		the drain , that is located at the rear end of the barbershop , is clogged with hair . it has to be cleaned .	the sink is clogged with grease .    it has to be cleaned .	-	It	7	-	7	19	30	the drain	the sink	the hair	the grease	A		
The drain is clogged with hair .    It has to be removed .	Police said the boys are natural brothers and were adopted as small children by the Dresbachs . The drain is clogged with hair . It has to be removed . The contract called for overhauling of 102 joints .		the drain , that is located at the rear end of the barbershop , is clogged with hair . it has to be removed .	the sink is clogged with grease .    it has to be removed .	-	It	7	-	7	19	24	the drain	the sink	the hair	the grease	B		
