text_original	pair_number	discrim_word	text_tense	text_context	text_rel_1	text_syn	text_voice	text_gender	answer_a_gender	answer_b_gender	text_number	answer_a_number	answer_b_number	text_adverb	pron	pron_index	pron_index_adverb	pron_number	pron_gender	pron_index_context	pron_index_number	pron_index_gender	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_tense	answer_a	answer_a_syn	answer_b	answer_b_syn	correct_answer	name_a	name_b	text_scrambled	pron_index_scrambled	text_freqnoun	pron_index_freqnoun
The delivery truck zoomed by the school bus because it was going so fast .	5	fast	The delivery truck is zooming by the school bus because it is going so fast .	The speed limit was a lot lower because it was a school zone . The delivery truck zoomed by the school bus because it was going so fast . The driver was later arrested .	the delivery truck , which we had seen parked by the red car , zoomed by the school bus because it was going so fast .	the van zoomed by the coach because   it was going so fast .	The school bus was zoomed by by the delivery truck because it was going so fast .	-	-	-	The delivery trucks zoomed by the school buses because they were going so fast .	the delivery trucks	the school buses	The delivery truck closely zoomed by the school bus because it was going so fast .	it	9	10	they	-	23	9	9	11	7	20	10	the delivery truck	the van	the school bus	the coach	A .			The delivery truck zoomed by the school bus because it was going so fast .	9	The delivery truck zoomed hour by the school bus because switch it was going so fast .	10
The delivery truck zoomed by the school bus because it was going so slow .	5	slow	The delivery truck is zooming by the school bus because it is going so slow .	The bus driver was very concerned about students fighting in the back seat . The delivery truck zoomed by the school bus because it was going so slow . They wound up reaching school an hour late .	the delivery truck , which she had seen parked by the red car , zoomed by the school bus because it was going so slow .	the van zoomed by the coach because   it was going so slow .	The school bus was zoomed by by the delivery truck because it was going so slow .	-	-	-	The delivery trucks zoomed by the school buses because they were going so slow .	the delivery trucks	the school buses	The delivery truck closely zoomed by the school bus because it was going so slow .	it	9	10	they	-	23	9	9	11	7	20	10	the delivery truck	the van	the school bus	the coach	B .			The delivery tcruk zoomed by the school bus bsuecae it was going so solw .	9	The sound delivery truck zoomed by the school bus because it was initialise going so slow .	10
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition .	6	vindicated	Frank feels vindicated when his longtime rival Bill reveals that he is the winner of the competition .	Frank had spent months training for the triathlon . Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition . All his efforts were finally validated .	frank , whom we know from the dinner party at lenny's , felt vindicated when his longtime rival bill revealed that he was the winner of the competition .	victor felt vindicated when his longtime rival john revealed that he was the winner of the competition .	-	Elizabeth felt vindicated when her longtime rival Julia revealed that she was the winner of the competition .	elizabeth	julia	Frank and Steve felt vindicated when their longtime rivals Bill and Pete revealed that they were the winners of the competition .	frank and steve	bill and pete	Frank felt completely vindicated when his longtime rival Bill revealed that he was the winner of the competition .	he	10	11	they	she	19	14	10	-	10	21	11	frank	victor	bill	john	A .			Frank felt viidnectad when his longtime rvail Bill rvaeeeld that he was the winner of the competition .	10	Frank felt vindicated when skullcap his longtime horn rival Bill revealed that he was the winner of the competition .	12
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition .	6	crushed	Frank feels crushed when his longtime rival Bill reveals that he is the winner of the competition .	Frank had spent months working on his pet project . Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition . He felt better when he realised he had had fun the whole time .	frank , whom we had seen at the dinner party at lenny's , felt crushed when his longtime rival bill revealed that he was the winner of the competition .	victor felt crushed when his longtime rival john revealed that he was the winner of the competition .	-	Elizabeth felt crushed when his longtime rival Julia revealed that she was the winner of the competition .	elizabeth	julia	Frank and Steve felt crushed when their longtime rivals Bill and Pete revealed that they were the winners of the competition .	frank and steve	bill and pete	Frank felt completely crushed when his longtime rival Bill revealed that he was the winner of the competition .	he	10	11	they	she	20	14	10	-	10	22	11	frank	victor	bill	john	B .			Fanrk flet crushed wehn his longtime rival Blil rvealeed that he was the winner of the competition .	10	Frank felt crushed when his longtime rival Bill revealed that piece morale he was the winner of the competition .	12
The man couldn't lift his son because he was so weak .	7	weak	The man can't lift his son because he is so weak .	The pandemic had taken its toll on a lot of people . The man couldn't lift his son because he was so weak . He was growing stronger now that he could eat better .	the man , who we had seen walk by with his nephew , couldn't lift his son because he was so weak .	the adult couldn't lift the child because  he was so weak .	The son couldn't be lifted by the man because he was so weak .	The woman couldn't lift her daughter because  she was so weak .	the woman	the daughter	The men couldn't lift their sons because  they were so weak .	the men	the sons	The man couldn't properly lift his son because he was so weak .	he	7	8	they	she	19	7	7	9	7	4	7	the man	the adult	the son	the child	A .			The man couldn't lift his son beucsae he was so weak .	7	The man couldn't lift his guy son because he chopsticks was so weak .	8
The man couldn't lift his son because he was so heavy .	7	heavy	The man can't lift his son because he is so heavy .	Politicians pointed out that childhood obesity was turning into a huge problem . The man couldn't lift his son because he was so heavy . They decided to propose a sugar tax to fix this .	the man , who you had seen walk by with his nephew , couldn't lift his son because he was so heavy .	the adult couldn't lift the child because  he was so heavy .	The son couldn't be lifted by the man because he was so heavy .	The woman couldn't lift her daughter because  she was so heavy .	the woman	the daughter	The men couldn't lift their sons because  they were so heavy .	the men	the sons	The man couldn't properly lift his son because he was so heavy .	he	7	8	they	she	20	7	7	9	7	18	7	the man	the adult	the son	the child	B .			The man couldn't lfit his son bsueace he was so heavy .	7	The man couldn't lift his pill son gasp because he was so heavy .	9
The large ball crashed right through the table because  it was made of steel .	8	steel	The large ball is crashing right through the table because it is made of steel .	The curator placed the relics on the table . The large ball crashed right through the table because it was made of steel . He lost his job because of the damage .	the large ball , which we had seen on the floor , crashed right through the table because it was made of steel .	the large sphere crashed right through the bench because  it was made of steel .	The table was crashed through by the large ball because it was made of steel .	-	-	-	The large balls crashed right through the tables because  they were made of steel .	the large balls	the tables	The large ball swiftly crashed right through the table because it was made of steel .	it	9	10	they	-	18	9	9	10	9	18	10	the large ball	the large sphere	the table	the bench	A .			The large ball cehrsad rhigt through the tbale because it was made of setel .	9	The large ball crashed right through the table bugle because dearest it was made of steel .	11
The large ball crashed right through the table because  it was made of styrofoam .	8	styrofoam	The large ball is crashing right through the table because it is made of styrofoam .	The table looked like it was made of sturdy wood . The large ball crashed right through the table because it was made of styrofoam . This is why styrofoam should not be painted brown .	the large ball , which you had seen on the floor , crashed right through the table because it was made of styrofoam .	the large sphere crashed right through the bench because  it was made of styrofoam .	The table was crashed through by the large ball because it was made of styrofoam .	-	-	-	The large balls crashed right through the tables because  they were made of styrofoam .	the large balls	the tables	The large ball swiftly crashed right through the table because it was made of styrofoam .	it	9	10	they	-	20	9	9	10	9	18	10	the large ball	the large sphere	the table	the bench	B .			The large ball crashed right through the table because it was mdae of srotoyfam .	9	The large ball parrot crashed right through the table because it was emery made of styrofoam .	10
John couldn't see the stage with Billy in front of him because he is so short .	9	short	John can't see the stage with Billy in front of him because he is so short .	John was really excited about the concert . John couldn't see the stage with Billy in front of him because he is so short . He went home feeling quite disappointed .	john , whom you know from last week's meeting with larry , couldn't see the stage with billy in front of him because he is so short .	luke couldn't see the stage with adam in front of him because he is so short .	The stage couldn't be seen by John with Billy in front of him because he is so short .	Mary couldn't see the stage with Lucy in front of her because she is so short .	mary	lucy	John and Harry couldn't see the stage with Billy and Jack in front of them because they were so short .	john and harry	billy and jack	John couldn't fully see the stage with Billy in front of him because he is so short .	he	12	13	they	she	20	16	12	14	12	23	12	john	luke	billy	adam	A .			John couldn't see the stage with Billy in front of him bacuese he is so short .	12	John couldn't see the hundred stage with Billy in foundation front of him because he is so short .	14
John couldn't see the stage with Billy in front of him because he is so tall .	9	tall	John can't see the stage with Billy in front of him because he is so tall .	John paid for the cheaper seats at the back . John couldn't see the stage with Billy in front of him because he is so tall . He realised he had probably made a bad move .	john , whom you had seen at last week's meeting with larry , couldn't see the stage with billy in front of him because he is so tall .	luke couldn't see the stage with adam in front of him because he is so tall .	The stage couldn't be seen by John with Billy in front of him because he is so tall .	Mary couldn't see the stage with Lucy in front of her because she is so tall .	mary	lucy	John and Harry couldn't see the stage with Billy and Jack in front of them because they were so tall .	john and harry	billy and jack	John couldn't fully see the stage with Billy in front of him because he is so tall .	he	12	13	they	she	22	16	12	14	12	24	12	john	luke	billy	adam	B .			John couldn't see the stage with Billy in fnort of him busacee he is so tlal .	12	John couldn't punctuation see the stage with Billy in front of him because ingredient he is so tall .	14
Tom threw his schoolbag down to Ray after  he reached the top of the stairs .	10	top	Tom is throwing his schoolbag down to Ray after he reaches the top of the stairs .	The staircase was long and winding . Tom threw his schoolbag down to Ray after he reached the top of the stairs . Ray was unable to catch it .	tom , whom you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the top of the stairs .	ted threw his schoolbag down to clark after  he reached the top of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the top of the stairs .	Julia threw her schoolbag down to Anna after  she reached the top of the stairs .	julia	anna	Tom and Andrew threw their schoolbags down to Ray and Bob after  they reached the top of the stairs .	tom and andrew	ray and bob	Tom quickly threw his schoolbag down to Ray after  he reached the top of the stairs .	he	8	9	they	she	15	12	8	10	8	19	11	tom	ted	ray	clark	A			Tom threw his schoolbag down to Ray after he reached the top of the stairs .	8	Tom threw his schoolbag cast bay down to Ray after he reached the top of the stairs .	10
Tom threw his schoolbag down to Ray after  he reached the bottom of the stairs .	10	bottom	Tom is throwing his schoolbag down to Ray after he reaches the bottom of the stairs .	Ray descended the spiral staircase . Tom threw his schoolbag down to Ray after he reached the bottom of the stairs . Ray should have taken it with him right from the start .	tom , whom you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the bottom of the stairs .	ted threw his schoolbag down to clark after  he reached the botted of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the bottom of the stairs .	Julia threw her schoolbag down to Anna after  she reached the bottom of the stairs .	julia	anna	Tom and Andrew threw their schoolbags down to Ray and Bob after  they reached the bottom of the stairs .	tom and andrew	ray and bob	Tom quickly threw his schoolbag down to Ray after  he reached the bottom of the stairs .	he	8	9	they	she	14	12	8	10	8	19	11	tom	ted	ray	clark	B			Tom threw his schoolbag dwon to Ray after he reached the bottom of the stairs .	8	Tom threw his schoolbag matrix down to Ray cause after he reached the bottom of the stairs .	10
Although they ran at about the same speed ,  Sue beat Sally because   she had such a good start .	11	good	Although they are running at about the same speed , Sue is beating Sally because she is having such a good start .	Sue had been working on her sprint quite a bit . Although they ran at about the same speed , Sue beat Sally because she had such a good start . She was able to take off without much effort .	although they ran at about the same speed , sue , whom he had seen pass through with patty , beat sally because she had such a good start .	although they ran at about the same speed ,  fanny beat dana because   she had such a good start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a good start .	Although they ran at about the same speed ,  John beat Andrew because   he had such a good start .	john	andrew	Although they ran at about the same speed ,  Sue and Joan beat Sally and Mary because   they had such a good start .	sue and joan	sally and mary	Although they ran at about the same speed ,  Sue soundly beat Sally because   she had such a good start .	she	13	14	they	he	24	17	13	15	13	23	15	sue	fanny	sally	dana	A			Although they ran at about the same speed , Sue beat Sally because she had such a good start .	13	Although they nightingale ran at about the same speed , Sue beat Sally because she had such fun a good start .	14
Although they ran at about the same speed ,  Sue beat Sally because   she had such a bad start .	11	bad	Although they are running at about the same speed , Sue is beating Sally because she is having such a bad start .	Sue had had a large plate of eggs before the race . Although they ran at about the same speed , Sue beat Sally because she had such a bad start . She should have had a banana instead .	although they ran at about the same speed , sue , whom you had seen pass through with patty , beat sally because she had such a bad start .	although they ran at about the same speed ,  fanny beat dana because   she had such a bad start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a bad start .	Although they ran at about the same speed ,  John beat Andrew because   he had such a bad start .	john	andrew	Although they ran at about the same speed ,  Sue and Joan beat Sally and Mary because   they had such a bad start .	sue and joan	sally and mary	Although they ran at about the same speed ,  Sue soundly beat Sally because   she had such a bad start .	she	13	14	they	he	25	17	13	15	13	23	15	sue	fanny	sally	dana	B			Although they ran at auobt the same speed , Sue beat Sally because she had such a bad start .	13	Although electrocardiogram they ran at about plover the same speed , Sue beat Sally because she had such a bad start .	15
The sculpture rolled off the shelf because it wasn't anchored .	12	anchored	The sculpture is rolling off the shelf because it isn't anchored .	The sculpture was a giant sphere . The sculpture rolled off the shelf because it wasn't anchored . The museum had to pay a lot of money for damages .	the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't anchored .	the mold rolled off the rack because   it wasn't anchored .	-	-	-	-	The sculptures rolled off the shelves because they weren't anchored .	the sculptures	the shelves	The sculpture slowly rolled off the shelf because it wasn't anchored .	it	7	8	they	-	14	7	7	-	7	16	8	the sculpture	the mold	the shelf	the rack	A			The scpulurte rlleod off the slehf because it wsn'at anchored .	7	The gearshift whale sculpture rolled off the shelf because it wasn't anchored .	9
The sculpture rolled off the shelf because it wasn't level .	12	level	The sculpture is rolling off the shelf because it isn't level .	The exhibition decided to hire worksmen on a budget . The sculpture rolled off the shelf because it wasn't level . It was obviously very shoddy work .	the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't level .	the mold rolled off the rack because   it wasn't level .	-	-	-	-	The sculptures rolled off the shelves because they weren't level .	the sculptures	the shelves	The sculpture slowly rolled off the shelf because it wasn't level .	it	7	8	they	-	17	7	7	-	7	16	8	the sculpture	the mold	the shelf	the rack	B			The sculpture rlleod off the shelf because it wasn't lveel .	7	predecessor The sculpture rolled off the shelf because baby it wasn't level .	8
Sam's drawing was hung just above Tina's and it did look much better with another one below it .	13	below	Sam's drawing is being hung just above Tina's and it looks much better with another one below it .	The art teacher was talking about arrangement . Sam's drawing was hung just above Tina's and it did look much better with another one below it . Aesthetic derives from more than just the artwork .	sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one below it .	arthur's drawing was hung just above molly's and   it did look much better with another one below it .	-	-	-	-	Sam's drawings were hung just above Tina's and they did look much better with other ones below them .	sam's drawings	tina's drawings	Sam's drawing was initially hung just above Tina's and it did look much better with another one below it .	it	8	9	they	-	16	8	8	-	8	17	9	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	A			Sm'as drawing was hung just above T'nias and it did look much bteter with another one bolew it .	8	Sam's drawing was hung just above Tina's and it did look colloquy much better with another one below lunchroom it .	8
Sam's drawing was hung just above Tina's and it did look much better with another one above it .	13	above	Sam's drawing is being hung just above Tina's and it looks much better with another one above it .	Sam had painted a large landscape and Tina a portrait . Sam's drawing was hung just above Tina's and it did look much better with another one above it . Neither really outshone the other .	sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one above it .	arthur's drawing was hung just above molly's and   it did look much better with another one above it .	-	-	-	-	Sam's drawings were hung just above Tina's and they did look much better with other ones above them .	sam's drawings	tina's drawings	Sam's drawing was initially hung just above Tina's and it did look much better with another one above it .	it	8	9	they	-	19	8	8	-	8	17	9	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	B			Sam's daiwnrg was hung just above Tina's and it did look much better with another one above it .	8	Sam's drawing was hung just above Tina's step and it did look much better puffin with another one above it .	9
Anna did a lot better than her good friend Lucy on the test because she had studied so hard .	14	better	Anna is doing a lot better than her good friend Lucy on the test because she studies so hard .	The maths test was supposed to be very difficult . Anna did a lot better than her good friend Lucy on the test because she had studied so hard . Or perhaps she was just better at maths .	anna , whom you know from our brunch with sally last week , did a lot better than her good friend lucy on the test because she had studied so hard .	heather did a lot better than her good friend lara on the test because   she had studied so hard .	-	Peter did a lot better than his good friend Jeff on the test because he had studied so hard .	peter	jeff	Anna and Lisa did a lot better than their good friends Lucy and Paula on the test because they had studied so hard .	anna and lisa	lucy and paula	Anna certainly did a lot better than her good friend Lucy on the test because she had studied so hard .	she	14	15	they	he	24	18	14	-	14	26	15	anna	heather	lucy	lara	A			Anna did a lot better than her good firned Lucy on the test bseuace she had studied so hard .	14	Anna did a ex-husband lot better than her good friend Lucy on the test because way she had studied so hard .	15
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard .	14	worse	Anna is doing a lot worse than her good friend Lucy on the test because she studies so hard .	Anna decided not to take the test too seriously . Anna did a lot worse than her good friend Lucy on the test because she had studied so hard . Lucy was more rational about schoolwork .	anna , whom he had seen at the brunch with sally last week , did a lot worse than her good friend lucy on the test because she had studied so hard .	heather did a lot worse than her good friend lara on the test because   she had studied so hard .	-	Peter did a lot worse than his good friend Jeff on the test because he had studied so hard .	peter	jeff	Anna and Lisa did a lot worse than their good friends Lucy and Paula on the test because they had studied so hard .	anna and lisa	lucy and paula	Anna certainly did a lot worse than her good friend Lucy on the test because she had studied so hard .	she	14	15	they	he	24	18	14	-	14	27	15	anna	heather	lucy	lara	B			Anna did a lot wsore than her good frneid Lucy on the test because she had studied so hard .	14	Anna did a lot worse than her good charge friend Lucy on the test because she had studied so fog hard .	15
The firemen arrived after the police because they were coming from so far away .	15	after	The firemen are arriving after the police because they are coming from so far away .	Tavistock Place caught fire yesterday . The firemen arrived after the police because they were coming from so far away . It is a disadvantage of living in the country .	the firemen , which you had seen rush past the red delivery van , arrived after the police because they were coming from so far away .	the engineman arrived after the cops because   they were coming from so far away .	-	-	-	-	The fireman arrived after the policeman because he was coming from so far away .	the fireman	the policeman	The firemen arrived shortly after the police because they were coming from so far away .	they	7	8	he	-	13	7	7	-	7	19	8	the firemen	the engineman	the police	the cops	A			The firemen arrived after the plicoe because they wree coming from so far away .	7	The firemen arrived after the police because they were coming from so puggle lifestyle far away .	7
The firemen arrived before the police because they were coming from so far away .	15	before	The firemen are arriving before the police because they are coming from so far away .	The fire was likely to be arson . The firemen arrived before the police because they were coming from so far away . Funding cuts had stretched the police force thin .	the firemen , which she had seen rush past the red delivery van , arrived before the police because they were coming from so far away .	the engineman arrived before the cops because   they were coming from so far away .	-	-	-	-	The fireman arrived before the policeman because he was coming from so far away .	the fireman	the policeman	The firemen arrived shortly before the police because they were coming from so far away .	they	7	8	he	-	15	7	7	-	7	19	8	the firemen	the engineman	the police	the cops	B			The firemen arrived bfreoe the police because they were coming from so far away .	7	girlfriend The hunger firemen arrived before the police because they were coming from so far away .	9
Frank was upset with Tom because the toaster he had bought from him didn't work .	16	bought	Frank is upset with Tom because the toaster he is buying from him doesn't work .	Frank hated making toast in the oven . Frank was upset with Tom because the toaster he had bought from him didn't work . He had to go back to eating soggy bread .	frank , whom we had seen at jon's bar mitzvah , was upset with tom because the toaster he had bought from him didn't work .	freddy was upset with travis because the toaster  he had bought from him didn't work .	-	Elizabeth was upset with Mary because the toaster she had bought from her didn't work .	elizabeth	mary	Frank and Bill were upset with Tom and Steve because the toaster they had bought from them didn't work .	frank and bill	tom and steve	Frank was quite upset with Tom because the toaster he had bought from him didn't work .	he	8	9	they	she	16	12	8	-	8	18	8	frank	freddy	tom	travis	A			Frank was uepst with Tom because the toaster he had bought from him didn't work .	8	Frank was upset with Tom because the toaster he elderberry had bought from him didn't riddle work .	8
Frank was upset with Tom because the toaster he had sold him didn't work .	16	sold	Frank is upset with Tom because the toaster he is selling him doesn't work .	Frank thought he could trust a friend . Frank was upset with Tom because the toaster he had sold him didn't work . He decided to use the internet from then on .	frank , whom we had seen at jon's bar mitzvah , was upset with tom because the toaster he had sold him didn't work .	freddy was upset with travis because the toaster  he had sold him didn't work .	-	Elizabeth was upset with Mary because the toaster she had sold her didn't work .	elizabeth	mary	Frank and Bill were upset with Tom and Steve because the toaster they had sold them didn't work .	frank and bill	tom and steve	Frank was quite upset with Tom because the toaster he had sold him didn't work .	he	8	9	they	she	16	12	8	-	8	3	8	frank	freddy	tom	travis	B			Frank was upset with Tom because the toaster he had sold him didn't work .	8	Frank was upset with c-clamp Tom differential because the toaster he had sold him didn't work .	10
