	Unnamed: 0	text_original	text_tense	text_random	text_role_rev	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_rand	pron_index_tense	answer_a	answer_a_syn	answer_b	answer_b_syn	correct_answer	name_a	name_b	text_scrambled	pron_index_scrambled	text_freqnoun	pron_index_freqnoun
11	11	The delivery truck zoomed by the school bus because it was going so slow .	The delivery truck is zooming by the school bus because it is going so slow .	At last the White House is going to get some much-copied furniture by that master American craftsman , Duncan Phyfe , whose designs were snubbed in his lifetime when the U. S. Presidents of the 19th Century sent abroad for their furnishings . The delivery truck zoomed by the school bus because it was going so slow . Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ? ?		the delivery truck , which she had seen parked by the red car , zoomed by the school bus because it was going so slow .	the van zoomed by the coach because   it was going so slow .	The school bus was zoomed by by the delivery truck because it was going so slow .	it	9	11	7	20	52	10	the delivery truck	the van	the school bus	the coach	B .			The delivery tcruk zoomed by the school bus bsuecae it was going so solw .	9.0	The sound delivery truck zoomed by the school bus because it was initialise going so slow .	10.0
12	12	Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition .	Frank feels vindicated when his longtime rival Bill reveals that he is the winner of the competition .	With a lefthander going for Pittsburgh , I may use Don Taussig in center '' . Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition . As he signed his scorecard and walked off the course , Player was almost in tears .		frank , who we know from the dinner party at lenny's , felt vindicated when his longtime rival bill revealed that he was the winner of the competition .	victor felt vindicated when his longtime rival john revealed that he was the winner of the competition .	-	he	10	-	10	21	26	11	frank	victor	bill	john	A .			Frank felt viidnectad when his longtime rvail Bill rvaeeeld that he was the winner of the competition .	10.0	Frank felt vindicated when skullcap his longtime horn rival Bill revealed that he was the winner of the competition .	12.0
13	13	Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition .	Frank feels crushed when his longtime rival Bill reveals that he is the winner of the competition .	Ike's somewhat like George Washington . Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition . A GOP `` task force ' committee will seek to find out how its party may win support from the ethnic and minority groups in cities .		frank , which we had seen at the dinner party at lenny's , felt crushed when his longtime rival bill revealed that he was the winner of the competition .	victor felt crushed when his longtime rival john revealed that he was the winner of the competition .	-	he	10	-	10	22	16	11	frank	victor	bill	john	B .			Fanrk flet crushed wehn his longtime rival Blil rvealeed that he was the winner of the competition .	10.0	Frank felt crushed when his longtime rival Bill revealed that piece morale he was the winner of the competition .	12.0
14	14	The man couldn't lift his son because  he was so weak .	The man can't lift his son because he is so weak .	The continued operation of this program depends on having his service '' . The man couldn't lift his son because he was so weak . Nearly all of the farm equipment manufacturers and dealers say the upturn in sales has resulted chiefly from the recent improvement in crop prospects .		the man , which we had seen walk by with his nephew , couldn't lift his son because he was so weak .	the adult couldn't lift the child because  he was so weak .	The son couldn't be lifted by the man because he was so weak .	he	7	9	7	4	20	7	the man	the adult	the son	the child	A .			The man couldn't lift his son beucsae he was so weak .	7.0	The man couldn't lift his guy son because he chopsticks was so weak .	8.0
15	15	The man couldn't lift his son because  he was so heavy .	The man can't lift his son because he is so heavy .	He was able to smell a bargain -- and a masterpiece -- a continent away , and the Museum of Modern Art's Alfred Barr said of him : `` I have never mentioned a new artist that Thompson didn't know about '' . The man couldn't lift his son because he was so heavy . An out-of-town writer came up to Paul Richards today and asked the Oriole manager if he thought his ball club would be improved this year .		the man , which you had seen walk by with his nephew , couldn't lift his son because he was so heavy .	the adult couldn't lift the child because  he was so heavy .	The son couldn't be lifted by the man because he was so heavy .	he	7	9	7	18	50	7	the man	the adult	the son	the child	B .			The man couldn't lfit his son bsueace he was so heavy .	7.0	The man couldn't lift his pill son gasp because he was so heavy .	9.0
16	16	The large ball crashed right through the table because  it was made of steel .	The large ball is crashing right through the table because it is made of steel .	He said that drawings of the Dreadnought and printed details about the ship were found reproduced in an undeveloped roll of film taken from Lonsdale when he was arrested with the two civil servants outside the Old Vic theater Saturday afternoon , Jan. 7 . The large ball crashed right through the table because it was made of steel . The spy ring also was particularly interested in ASDIC , the underwater equipment for detecting submarines , it was testified .		the large ball , which we had seen on the floor , crashed right through the table because it was made of steel .	the large sphere crashed right through the bench because  it was made of steel .	The table was crashed through by the large ball because it was made of steel .	it	9	10	9	18	54	10	the large ball	the large sphere	the table	the bench	A .			The large ball cehrsad rhigt through the tbale because it was made of setel .	9.0	The large ball crashed right through the table bugle because dearest it was made of steel .	11.0
17	17	The large ball crashed right through the table because  it was made of styrofoam .	The large ball is crashing right through the table because it is made of styrofoam .	Where was the driver now ? ? The large ball crashed right through the table because it was made of styrofoam . Lumpe errs		the large ball , which you had seen on the floor , crashed right through the table because it was made of styrofoam .	the large sphere crashed right through the bench because  it was made of styrofoam .	The table was crashed through by the large ball because it was made of styrofoam .	it	9	10	9	18	16	10	the large ball	the large sphere	the table	the bench	B .			The large ball crashed right through the table because it was mdae of srotoyfam .	9.0	The large ball parrot crashed right through the table because it was emery made of styrofoam .	10.0
18	18	John couldn't see the stage with Billy in front of him because he is so short .	John can't see the stage with Billy in front of him because he is so short .	Louis 14 , -- Aj . John couldn't see the stage with Billy in front of him because he is so short . There will be a large drawing of a sunbonnet girl with eyes that flash at the guests .		john , who you know from last week's meeting with larry , couldn't see the stage with billy in front of him because he is so short .	luke couldn't see the stage with adam in front of him because he is so short .	The stage couldn't be seen by John with Billy in front of him because he is so short .	he	12	14	12	23	18	12	john	luke	billy	adam	A .			John couldn't see the stage with Billy in front of him bacuese he is so short .	12.0	John couldn't see the hundred stage with Billy in foundation front of him because he is so short .	14.0
19	19	John couldn't see the stage with Billy in front of him because he is so tall .	John can't see the stage with Billy in front of him because he is so tall .	And in a series of bitterly fought battles in the jungles and hills and along the great rivers of Burma he waged one of the most brilliant campaigns of the war . John couldn't see the stage with Billy in front of him because he is so tall . Bake slowly about one hour at 250-275 F. until lightly brown .		john , which you had seen at last week's meeting with larry , couldn't see the stage with billy in front of him because he is so tall .	luke couldn't see the stage with adam in front of him because he is so tall .	The stage couldn't be seen by John with Billy in front of him because he is so tall .	he	12	14	12	24	44	12	john	luke	billy	adam	B .			John couldn't see the stage with Billy in fnort of him busacee he is so tlal .	12.0	John couldn't punctuation see the stage with Billy in front of him because ingredient he is so tall .	14.0
20	20	Tom threw his schoolbag down to Ray after  he reached the top of the stairs .	Tom is throwing his schoolbag down to Ray after he reaches the top of the stairs .	At Jenks Street , Simms said , the car skidded completely around , just missed two parked cars , and sped east in Jenks . Tom threw his schoolbag down to Ray after he reached the top of the stairs . Advise And Consent , lively but shallow theater drawn from the mountainously detailed bestseller ; ;		tom , who you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the top of the stairs .	ted threw his schoolbag down to clark after  he reached the top of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the top of the stairs .	he	8	10	8	19	33	11	tom	ted	ray	clark	A			Tom threw his schoolbag down to Ray after he reached the top of the stairs .	8.0	Tom threw his schoolbag cast bay down to Ray after he reached the top of the stairs .	10.0
21	21	Tom threw his schoolbag down to Ray after  he reached the bottom of the stairs .	Tom is throwing his schoolbag down to Ray after he reaches the bottom of the stairs .	Deadly deadlock . Tom threw his schoolbag down to Ray after he reached the bottom of the stairs . Also on the bill at the Fifty-fifth Street is a nice ten-minute color film called `` Sunday In Greenwich Village '' , a tour of the haunts and joints .		tom , who you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the bottom of the stairs .	ted threw his schoolbag down to clark after  he reached the botted of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the bottom of the stairs .	he	8	10	8	19	11	11	tom	ted	ray	clark	B			Tom threw his schoolbag dwon to Ray after he reached the bottom of the stairs .	8.0	Tom threw his schoolbag matrix down to Ray cause after he reached the bottom of the stairs .	10.0
22	22	Although they ran at about the same speed ,  Sue beat Sally because   she had such a good start .	Although they are running at about the same speed , Sue is beating Sally because she is having such a good start .	And little Zeme North , a Dora with real spirit and verve , was fascinating whether she was singing of her love for Floyd , the cop who becomes sewer commissioner and then is promoted into garbage , or just dancing to display her exuberant feelings . Although they ran at about the same speed , Sue beat Sally because she had such a good start . Washington , Feb. 9		although they ran at about the same speed , sue , which he had seen pass through with patty , beat sally because she had such a good start .	although they ran at about the same speed ,  fanny beat dana because   she had such a good start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a good start .	she	13	15	13	23	60	15	sue	fanny	sally	dana	A			Although they ran at about the same speed , Sue beat Sally because she had such a good start .	13.0	Although they nightingale ran at about the same speed , Sue beat Sally because she had such fun a good start .	14.0
23	23	Although they ran at about the same speed ,  Sue beat Sally because   she had such a bad start .	Although they are running at about the same speed , Sue is beating Sally because she is having such a bad start .	The tower cleared the plane for take-off at 8 a.m. , and Captain Rickards began taxiing toward the runway . Although they ran at about the same speed , Sue beat Sally because she had such a bad start . It shows what a beautiful city Newark will become and certainly make every Newarker proud of this city .		although they ran at about the same speed , sue , which you had seen pass through with patty , beat sally because she had such a bad start .	although they ran at about the same speed ,  fanny beat dana because   she had such a bad start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a bad start .	she	13	15	13	23	33	15	sue	fanny	sally	dana	B			Although they ran at auobt the same speed , Sue beat Sally because she had such a bad start .	13.0	Although electrocardiogram they ran at about plover the same speed , Sue beat Sally because she had such a bad start .	15.0
24	24	The sculpture rolled off the shelf because it wasn't anchored .	The sculpture is rolling off the shelf because it isn't anchored .	She : `` By subway or cab '' ? ? The sculpture rolled off the shelf because it wasn't anchored . as halfbacks , both came close to playing football at the University of Oklahoma ( `` Sometimes in the minors '' , Maris recalls , `` I wished I had gone to Oklahoma '' ) .		the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't anchored .	the mold rolled off the rack because   it wasn't anchored .	-	it	7	-	7	16	17	8	the sculpture	the mold	the shelf	the rack	A			The scpulurte rlleod off the slehf because it wsn'at anchored .	7.0	The gearshift whale sculpture rolled off the shelf because it wasn't anchored .	9.0
25	25	The sculpture rolled off the shelf because it wasn't level .	The sculpture is rolling off the shelf because it isn't level .	Glimco a buddy The sculpture rolled off the shelf because it wasn't level . Mantle is not normally given to public speaking -- or , for that matter , to private speaking .		the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't level .	the mold rolled off the rack because   it wasn't level .	-	it	7	-	7	16	10	8	the sculpture	the mold	the shelf	the rack	B			The sculpture rlleod off the shelf because it wasn't lveel .	7.0	predecessor The sculpture rolled off the shelf because baby it wasn't level .	8.0
26	26	Sam's drawing was hung just above Tina's and it did look much better with another one below it .	Sam's drawing is being hung just above Tina's and it looks much better with another one below it .	we need 100 in Rhode Island , we have none '' , he said . Sam's drawing was hung just above Tina's and it did look much better with another one below it . When Dr. W. A. Swim celebrated his 75th birthday at the Wilshire Country Club , guests came by chartered plane from all over the country .		sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one below it .	arthur's drawing was hung just above molly's and   it did look much better with another one below it .	-	it	8	-	8	17	23	9	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	A			Sm'as drawing was hung just above T'nias and it did look much bteter with another one bolew it .	8.0	Sam's drawing was hung just above Tina's and it did look colloquy much better with another one below lunchroom it .	8.0
27	27	Sam's drawing was hung just above Tina's and it did look much better with another one above it .	Sam's drawing is being hung just above Tina's and it looks much better with another one above it .	However , Biblical scholars frequently attested to its numerous inaccuracies , as old manuscripts were uncovered and scholarship advanced . Sam's drawing was hung just above Tina's and it did look much better with another one above it . Miss Hardwick speaks of his `` superb gift for intellectual friendship '' , and it is certainly a joy to see the intellectual life lived so free from either academic aridity or passionate dogmatism .		sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one above it .	arthur's drawing was hung just above molly's and   it did look much better with another one above it .	-	it	8	-	8	17	28	9	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	B			Sam's daiwnrg was hung just above Tina's and it did look much better with another one above it .	8.0	Sam's drawing was hung just above Tina's step and it did look much better puffin with another one above it .	9.0
28	28	Anna did a lot better than her good friend Lucy on the test because she had studied so hard .	Anna is doing a lot better than her good friend Lucy on the test because she studies so hard .	`` I never knew there were such neighbors and friends around me and my family . Anna did a lot better than her good friend Lucy on the test because she had studied so hard . There is one thing I know ; ;		anna , who you know from our brunch with sally last week , did a lot better than her good friend lucy on the test because she had studied so hard .	heather did a lot better than her good friend lara on the test because   she had studied so hard .	-	she	14	-	14	26	30	15	anna	heather	lucy	lara	A			Anna did a lot better than her good firned Lucy on the test bseuace she had studied so hard .	14.0	Anna did a ex-husband lot better than her good friend Lucy on the test because way she had studied so hard .	15.0
29	29	Anna did a lot worse than her good friend Lucy on the test because she had studied so hard .	Anna is doing a lot worse than her good friend Lucy on the test because she studies so hard .	However , Montgomery makes little contribution to leadership theory and practice . Anna did a lot worse than her good friend Lucy on the test because she had studied so hard . Arnold Palmer , the defending champion , lost his title on the 72nd hole after a few minutes of misfortune that left even his fellow pros gaping in disbelief .		anna , which he had seen at the brunch with sally last week , did a lot worse than her good friend lucy on the test because she had studied so hard .	heather did a lot worse than her good friend lara on the test because   she had studied so hard .	-	she	14	-	14	27	26	15	anna	heather	lucy	lara	B			Anna did a lot wsore than her good frneid Lucy on the test because she had studied so hard .	14.0	Anna did a lot worse than her good charge friend Lucy on the test because she had studied so fog hard .	15.0
30	30	The firemen arrived after the police because they were coming from so far away .	The firemen are arriving after the police because they are coming from so far away .	They do our country great harm by such actions . The firemen arrived after the police because they were coming from so far away . Mitchell employs a total of about 400 people .		the firemen , which you had seen rush past the red delivery van , arrived after the police because they were coming from so far away .	the engineman arrived after the cops because   they were coming from so far away .	-	they	7	-	7	19	17	8	the firemen	the engineman	the police	the cops	A			The firemen arrived after the plicoe because they wree coming from so far away .	7.0	The firemen arrived after the police because they were coming from so puggle lifestyle far away .	7.0
31	31	The firemen arrived before the police because they were coming from so far away .	The firemen are arriving before the police because they are coming from so far away .	Basic reference tools are the backbone of the collection , but there is also specialization in science and technology , an indicated weakness in local libraries . The firemen arrived before the police because they were coming from so far away . Rep. Charles E. Hughes of Sherman , sponsor of the bill , said a failure to enact it would amount `` to making a gift out of the taxpayers' pockets to banks , insurance and pipeline companies '' .		the firemen , which she had seen rush past the red delivery van , arrived before the police because they were coming from so far away .	the engineman arrived before the cops because   they were coming from so far away .	-	they	7	-	7	19	34	8	the firemen	the engineman	the police	the cops	B			The firemen arrived bfreoe the police because they were coming from so far away .	7.0	girlfriend The hunger firemen arrived before the police because they were coming from so far away .	9.0
32	32	Frank was upset with Tom because the toaster he had bought from him didn't work .	Frank is upset with Tom because the toaster he is buying from him doesn't work .	Gen. Maxwell Taylor's statement in Saigon that he is `` very much encouraged '' about the chances of the pro-Western government of Viet Nam turning back Communist guerrilla attacks comes close to an announcement that he will not recommend dispatching United States troops to bolster the Vietnamese Army . Frank was upset with Tom because the toaster he had bought from him didn't work . Where only one club existed before , he says , two will flourish henceforth .		frank , which we had seen at jon's bar mitzvah , was upset with tom because the toaster he had bought from him didn't work .	freddy was upset with travis because the toaster  he had bought from him didn't work .	-	he	8	-	8	18	57	8	frank	freddy	tom	travis	A			Frank was uepst with Tom because the toaster he had bought from him didn't work .	8.0	Frank was upset with Tom because the toaster he elderberry had bought from him didn't riddle work .	8.0
33	33	Frank was upset with Tom because the toaster he had sold him didn't work .	Frank is upset with Tom because the toaster he is selling him doesn't work .	It is a killer sub -- that is , a hunter of enemy subs . Frank was upset with Tom because the toaster he had sold him didn't work . A capsule view of proposed plans includes :		frank , which we had seen at jon's bar mitzvah , was upset with tom because the toaster he had sold him didn't work .	freddy was upset with travis because the toaster  he had sold him didn't work .	-	he	8	-	8	3	23	8	frank	freddy	tom	travis	B			Frank was upset with Tom because the toaster he had sold him didn't work .	8.0	Frank was upset with c-clamp Tom differential because the toaster he had sold him didn't work .	10.0
34	34	Jim yelled at Kevin because  he was so upset .	Jim is yelling at Kevin because he is so upset .	Rembrandt's `` Aristotle Contemplating Bust of Homer '' brought $2,300,000 at auction the other night . Jim yelled at Kevin because he was so upset . Pass In Review practically guarantees enjoyment , and is a dramatic demonstration of the potentialities of any stereo music system .		jim , who we know from last month's squash game against bryan , yelled at kevin because he was so upset .	jerry yelled at larry because  he was so upset .	Kevin was yelled at by Jim because he was so upset .	he	5	7	5	17	21	6	jim	jerry	kevin	larry	A			Jim yelled at Kevin because he was so upset .	5.0	Jim yelled at Kevin because he was fishmonger so upset .	5.0
35	35	Jim comforted Kevin because  he was so upset .	Jim is comforting Kevin because he is so upset .	His people ( see color ) are angular and knobby-knuckled , sometimes painfully stretched , sometimes grotesquely foreshortened . Jim comforted Kevin because he was so upset . Now listen closely :		jim , who we know from last month's squash game against bryan , comforted kevin because he was so upset .	jerry comforted larry because  he was so upset .	Kevin was comforted by Jim because he was so upset .	he	4	6	4	16	23	5	jim	jerry	kevin	larry	B			Jim comforted Kevin because he was so upset .	4.0	Jim comforted transformation Kevin because he was so upset .	5.0
36	36	The sack of potatoes had been placed above the bag of flour ,  so  it had to be moved first .	The sack of potatoes is being placed above the bag of flour , so it has to be moved first .	Fred Mullen from Mercer Island , Wash. ; ; The sack of potatoes had been placed above the bag of flour , so it had to be moved first . `` The windshield looks pretty clean '' .		the sack of potatoes , that is mentioned in the list of groceries  , had been placed above the bag of flour , so it had to be moved first .	the package of potatoes had been placed above the packet of flour ,  so  it had to be moved first .	-	it	14	-	14	24	22	14	the sack of potatoes	the package of potatoes	the bag of flour	the packet of flour	A			The scak of peatotos had been placed above the bag of fulor , so it had to be moved frist .	14.0	The longboat sack of potatoes had been placed above the bag of flour , abacus so it had to be linguistics moved first .	16.0
37	37	The sack of potatoes had been placed below the bag of flour ,  so  it had to be moved first .	The sack of potatoes is being placed below the bag of flour , so it has to be moved first .	No plunkers for him '' . The sack of potatoes had been placed below the bag of flour , so it had to be moved first . An archery tournament will be held at North Falmouth , Mass. ( Sept. 23 , 24 ) .		the sack of potatoes , that is mentioned in the list of groceries , had been placed below the bag of flour , so it had to be moved first .	the package of potatoes had been placed below the packet of flour ,  so  it had to be moved first .	-	it	14	-	14	24	19	14	the sack of potatoes	the package of potatoes	the bag of flour	the packet of flour	B			The sack of potatoes had been pleacd below the bag of foulr , so it had to be moved first .	14.0	The inside sack revitalization of potatoes had been placed below the bag of flour waterbed , so it had to be moved first .	17.0
38	38	Pete envies Martin although he is very successful .	Pete envied Martin although he was very successful .	It is just bad luck that we are having the party in a month with no R's , so no oysters . Pete envies Martin although he is very successful . I am prepared to demonstrate at anytime that it represents the spirit of Imperial Russia in its most vulgar , infantile , and reactionary aspect ; ;		pete , who you know from an event at bob's office , envies martin although he is very successful .	dick envies gareth although  he is very successful .	Martin is envied by Pete although he is very successful .	he	4	6	4	15	26	4	pete	dick	martin	gareth	A			Pete envies Martin although he is very successful .	4.0	Pete envies Martin although he euphonium is very successful .	4.0
39	39	Pete envies Martin because he is very successful .	Pete envied Martin although he was very successful .	He succeeds Buck Shaw , who retired at the end of last season . Pete envies Martin because he is very successful . But a great many of what Variety calls the `` Cooch Terpers '' are considerably less cosmic than that .		pete , who you know from an event at bob's office , envies martin because he is very successful .	dick envies gareth because  he is very successful .	Martin is envied by Pete because he is very successful .	he	4	6	4	3	18	4	pete	dick	martin	gareth	B			Pete envies Martin bsecaue he is very successful .	4.0	Pete trombone envies Martin because he is very successful .	5.0
40	40	The older students were bullying the younger ones , so we punished  them .	The older students are bullying the younger ones , so we are punishing them .	You can't expect it , though . The older students were bullying the younger ones , so we punished them . Against the dramatic fight being waged for preservation of 30 miles of Cape Cod shoreline , the tiny tract at Stone Harbor may seem unimportant .		the older students , who she had discussed with the teacher , were bullying the younger ones , so we punished them .	the older pupils were bullying the younger ones ,  so we punished  them .	The younger students were being bullied by the older ones , so we punished them .	them	12	14	12	21	19	14	the older students	the older pupils	the younger students	the younger pupils	A			The older stdnteus were bullying the yogneur ones , so we penuihsd them .	12.0	subgroup The older students were bullying the younger ones kitty , so we punished them .	14.0
