text_original 	 pron 	 pron_index 	 answerA 	 answerB 	 correctAnswer
I poured water from the bottle into the cup until   it was full .  	  it  	 10 	  the bottle  	  the cup  	  B  
Susan knows all about Ann's personal problems because   she is nosy .  	  she  	 8 	  susan  	  ann  	  A  
Susan knows all about Ann's personal problems because   she is indiscreet .  	  she  	 8 	  susan  	  ann  	  B  
Sid explained his theory to Mark but   he couldn't convince him .  	  he  	 7 	 sid   	 mark  	  A  
Sid explained his theory to Mark but   he couldn't understand him .  	  he  	 7 	 sid   	 mark  	  B  
Susan knew that Ann's son had been in a car accident ,  so she told her about it .  	 she  	 13 	  susan  	  ann  	  A  
Susan knew that Ann's son had been in a car accident ,  because she told her about it .  	 she  	 13 	  susan  	  ann  	  B  
Joe's uncle can still beat him at tennis ,  even though   he is 30 years younger .  	  he  	 11 	  joe  	  joe's uncle  	  A  
Joe's uncle can still beat him at tennis ,  even though   he is 30 years older .  	  he  	 11 	  joe  	  joe's uncle  	   B 
The painting in Mark's living room shows an oak tree .   it is to the right of the bookcase .  	 it  	 11 	  the painting  	  the oak tree  	  A  
The painting in Mark's living room shows an oak tree .   it is to the right of a house .  	 it  	 11 	  the painting  	  the oak tree  	  B  
There is a gap in the wall .  You can see the garden through   it.  	  it 	 14 	  the gap  	  the wall  	  A  
There is a gap in the wall .  You can see the garden behind  it.  	  it 	 14 	  the gap  	  the wall  	  B  
The drain is clogged with hair .    It has to be cleaned .  	  It  	 7 	  the drain  	  the hair  	  A  
The drain is clogged with hair .    It has to be removed .  	  It  	 7 	  the drain  	  the hair  	  B  
My meeting started at 4:00 and I needed to catch the train at 4:30 ,  so there wasn't much time .  Luckily ,    it was short ,  so it worked out .  	  it  	 23 	  the meeting  	  the train  	  A  
My meeting started at 4:00 and I needed to catch the train at 4:30 ,  so there wasn't much time .  Luckily ,    it was delayed ,  so it worked out .  	  it  	 23 	  the meeting  	  the train  	  B  
There is a pillar between me and the stage ,  and I can't see around  it .  	  it  	 15 	  the pillar  	  the stage  	   A 
There is a pillar between me and the stage ,  and I can't see   it .  	  it  	 14 	  the pillar  	  the stage  	   B 
They broadcast an announcement ,  but a subway came into the station and I couldn't hear it .  	 it  	 16 	 the announcement  	 the subway  	  A  
They broadcast an announcement ,  but a subway came into the station and I couldn't hear over it .  	 it  	 17 	 the announcement  	 the subway  	  B  
In the middle of the outdoor concert ,  the rain started falling ,  but  it continued until 10 .    	  it  	 14 	  the concert  	  the rain  	  A  
In the middle of the outdoor concert ,  the rain started falling ,  and  it continued until 10 .    	  it  	 14 	  the concert  	  the rain  	  B  
I used an old rag to clean the knife ,  and then I put   it in the trash .  	  it  	 14 	 the rag  	 the knife  	  A  
I used an old rag to clean the knife ,  and then I put   it in the drawer .  	  it  	 14 	 the rag  	 the knife  	  B  
Ann asked Mary what time the library closes ,  because  she had forgotten .  	  she  	 10 	  ann  	  mary  	  A 
Ann asked Mary what time the library closes ,  but  she had forgotten .  	  she  	 10 	  ann  	  mary  	  B 
I took the water bottle out of the backpack so that  it would be handy .  	 it  	 11 	  the water bottle  	  the backpack  	  A  
I took the water bottle out of the backpack so that  it would be lighter .  	 it  	 11 	  the water bottle  	  the backpack  	  B  
I couldn't put the pot on the shelf because  it was too tall .  	 it  	 9 	 the pot  	 the shelf  	  A 
I couldn't put the pot on the shelf because  it was too high .  	 it  	 9 	 the pot  	 the shelf  	  B 
I'm sure that my map will show this building;   it is very good .  	  it  	 9 	  the map  	  the building  	  A 
I'm sure that my map will show this building;   it is very famous .  	  it  	 9 	  the map  	  the building  	  B 
Bob paid for Charlie's college education .   He is very generous .  	 He  	 7 	  bob  	  charlie  	  A .   
Bob paid for Charlie's college education .   He is very grateful .  	 He  	 7 	  bob  	  charlie  	  B .   
Bob paid for Charlie's college education ,  but now Charlie acts as thoughit never happened .    He is very hurt .  	  He  	 16 	  bob  	  charlie  	  A .   
Bob paid for Charlie's college education ,  but now Charlie acts as thoughit never happened .    He is very ungrateful .  	  He  	 16 	  bob  	  charlie  	  B .   
Bob was playing cards with Adam and was way ahead .  If Adam hadn't had asudden run of good luck ,    he would have won .  	  he  	 21 	  bob  	  adam  	  A 
Bob was playing cards with Adam and was way ahead .  If Adam hadn't had asudden run of good luck ,    he would have lost .  	  he  	 21 	  bob  	  adam  	  B 
Adam can't leave work here until Bob arrives to replace him .  If Bob had left home for work on time ,    he would be gone by this time .  	  he  	 22 	  adam  	  bob  	  A  
Adam can't leave work here until Bob arrives to replace him .  If Bob had left home for work on time ,    he would be here by this time .  	  he  	 22 	  adam  	  bob  	  B  
If the con artist has succeeded in fooling Sam ,    he would have gotten a lot of money .    	  he  	 10 	 the con artist  	 sam  	  A  
If the con artist has succeeded in fooling Sam ,    he would have lost a lot of money .    	  he  	 10 	 the con artist  	 sam  	  B  
It was a summer afternoon ,  and the dog was sitting in the middle of thelawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was hot .   	 it  	 34 	 the dog  	 the spot under the tree  	  A  
It was a summer afternoon ,  and the dog was sitting in the middle of thelawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was cooler .   	 it  	 34 	 the dog  	 the spot under the tree  	  B  
The cat was lying by the mouse hole waiting for the mouse ,  but   it was too impatient .  	  it  	 14 	 the cat  	 the mouse  	  A  
The cat was lying by the mouse hole waiting for the mouse ,  but   it was too cautious .  	  it  	 14 	 the cat  	 the mouse  	  B  
Anne gave birth to a daughter last month .    She is a very charming woman .  	  She  	 9 	  anne  	  anne's daughter  	  A  
Anne gave birth to a daughter last month .    She is a very charming baby .   	  She  	 9 	  anne  	  anne's daughter  	  B  
Alice tried frantically to stop her daughter from chatting atthe party ,  leaving us to wonder why   she was behaving so strangely .  	  she  	 17 	  alice 	  alice's daughter  	   A 
Alice tried frantically to stop her daughter from barking atthe party ,  leaving us to wonder why   she was behaving so strangely .  	  she  	 17 	  alice  	  alice's daughter  	  B  
I saw Jim yelling at some guy in a military uniform with a huge red beard .  I don't know why   he was ,  but he looked very unhappy .  	  he  	 21 	  jim  	  the guy in uniform  	  A  
I saw Jim yelling at some guy in a military uniform with a huge red beard .  I don't know who   he was ,  but he looked very unhappy .  	  he  	 21 	  jim  	  the guy in uniform  	  B  
The fish ate the worm .   It was hungry .  	 It  	 6 	 the fish  	 the worm  	  A  
The fish ate the worm .   It was tasty .  	 It  	 6 	 the fish  	 the worm  	  B  
I was trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it in .  	  it  	 25 	  the key  	  the chewing gum  	  A 
I was trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it out .  	  it  	 25 	  the key  	  the chewing gum  	  B 
The dog chased the cat ,  which ran up a tree .    It waited at the bottom .  	  It  	 12 	  the dog  	  the cat  	  A  
The dog chased the cat ,  which ran up a tree .    It waited at the top .  	  It  	 12 	  the dog  	  the cat  	  B  
In the storm ,  the tree fell down and crashed through the roof of my house .  Now ,  I have to get   it removed .  	  it  	 23 	  the tree  	  the roof  	  A  
In the storm ,  the tree fell down and crashed through the roof of my house .  Now ,  I have to get   it repaired .  	  it  	 23 	  the tree  	  the roof  	  B  
The customer walked into the bank and stabbed one of the tellers .    He was immediately taken to the police station .  	  He  	 13 	  the customer  	  the teller  	  A .  
The customer walked into the bank and stabbed one of the tellers .    He was immediately taken to the hospital .  	  He  	 13 	  the customer  	  the teller  	  B .  
John was doing research in the library when he heard a man humming and whistling .   He was very annoyed .  	 He  	 16 	  john  	  the man  	  A  
John was doing research in the library when he heard a man humming and whistling .   He was very annoying .  	 He  	 16 	  john  	  the man  	  B  
John was jogging through the park when he saw a man juggling watermelons .  He was very impressed .  	 He  	 14 	  john  	  the juggler  	  A  
John was jogging through the park when he saw a man juggling watermelons .  He was very impressive .  	 He  	 14 	  john  	  the juggler  	  B  
Bob collapsed on the sidewalk .  Soon he saw Carl coming to help .   He was very ill .  	 He  	 14 	  bob  	  carl  	  A  
Bob collapsed on the sidewalk .  Soon he saw Carl coming to help .   He was very concerned .  	 He  	 14 	  bob  	  carl  	  B  
Sam and Amy are passionately in love ,  but Amy's parents are unhappyabout it ,  because   they are fifteen .  	  they  	 16 	  sam and amy  	  amy's parents  	  A  
Sam and Amy are passionately in love ,  but Amy's parents are unhappyabout it ,  because   they are snobs .  	  they  	 16 	  sam and amy  	  amy's parents  	  B  
Mark told Pete many lies about himself ,  which Pete included in his book .   He should have been more  truthful .  	 He  	 15 	  mark  	  pete  	  A 
Mark told Pete many lies about himself ,  which Pete included in his book .   He should have been more  skeptical .  	 He  	 15 	  mark  	  pete  	  B 
Joe has sold his house and bought a new one a few miles away .  He willbe moving out of  it on Thursday .  	  it  	 20 	  the old house  	  the new house  	  A 
Joe has sold his house and bought a new one a few miles away .  He willbe moving into  it on Thursday .  	  it  	 19 	  the old house  	  the new house  	  B 
Many people start to read Paul's books and can't put them down .   They are gripped because Paul writes so well .  	 They  	 13 	  people  	  paul's books  	  A  
Many people start to read Paul's books and can't put them down .   They are popular because Paul writes so well .  	 They  	 13 	  people  	  paul's books  	  B  
Mary took out her flute and played one of her favorite pieces .  Shehas had  it since she was a child .  	  it  	 15 	  the flute  	  the piece  	  A  
Mary took out her flute and played one of her favorite pieces .  Shehas loved  it since she was a child .  	  it  	 15 	  the flute  	  the piece  	  B  
Sam pulled up a chair to the piano ,  but  it was broken ,  so he had to stand instead .    	 it  	 10 	 the chair  	 the piano  	  A  
Sam pulled up a chair to the piano ,  but  it was broken ,  so he had to sing instead .    	 it  	 10 	 the chair  	 the piano  	  B  
Since it was raining ,  I carried the newspaper in my backpack to keep  it dry .  	  it  	 14 	  the newspaper  	  the backpack  	  A  
Since it was raining ,  I carried the newspaper over my backpack to keep  it dry .  	  it  	 14 	  the newspaper  	  the backpack  	  B  
Sara borrowed the book from the library because she needs it for anarticle she is working on .  She reads  it when she gets home from work .  	  it  	 20 	  the book  	  the article  	   A 
Sara borrowed the book from the library because she needs it for anarticle she is working on .  She writes  it when she gets home from work .  	  it  	 20 	  the book  	  the article  	   B 
This morning ,  Joey built a sand castle on the beach ,  and put a toy flag in the highest tower ,  but this afternoon the tide knocked   it down .  	  it  	 28 	  the sand castle  	  the flag  	  A  
This morning ,  Joey built a sand castle on the beach ,  and put a toy flag in the highest tower ,  but this afternoon the wind knocked   it down .  	  it  	 28 	  the sand castle  	  the flag  	  B 
Jane knocked on Susan's door ,  but there was no answer .    She was disappointed .  	  She  	 12 	  jane  	  susan  	  A 
Jane knocked on Susan's door ,  but there was no answer .    She was out .  	  She  	 12 	  jane  	  susan  	  B 
Jane knocked on the door ,  and Susan answered it .    She invited her to come out .  	  She  	 11 	  jane  	  susan  	  A 
Jane knocked on the door ,  and Susan answered it .    She invited her to come in .  	  She  	 11 	  jane  	  susan  	  B 
Sam took French classes from Adam ,  because  he was eager to speak it fluently .  	 he  	 8 	  sam  	  adam  	  A  
Sam took French classes from Adam ,  because  he was known to speak it fluently .  	 he  	 8 	  sam  	  adam  	  B  
The path to the lake was blocked ,  so we couldn't use  it .  	  it  	 12 	  the path  	  the lake  	  A  
The path to the lake was blocked ,  so we couldn't reach  it .  	  it  	 12 	  the path  	  the lake  	  B 
The sun was covered by a thick cloud all morning ,  but luckily ,  by the timethe picnic started ,    it was out .  	  it  	 20 	  the sun  	  the cloud  	  A  
The sun was covered by a thick cloud all morning ,  but luckily ,  by the timethe picnic started ,    it was gone .  	  it  	 20 	  the sun  	  the cloud  	  B  
We went to the lake ,  because a shark had been seen at the ocean beach ,  so   it was a safer place to swim .  	  it  	 18 	  the lake  	  the ocean beach  	  A  
We went to the lake ,  because a shark had been seen at the ocean beach ,  so   it was a dangerous place to swim .  	  it  	 18 	  the lake  	  the ocean beach  	  B  
Sam tried to paint a picture of shepherds with sheep ,  but   they ended up looking more like golfers .  	  they  	 12 	  the shepherds  	  the sheep  	  A  
Sam tried to paint a picture of shepherds with sheep ,  but   they ended up looking more like dogs .  	  they  	 12 	  the shepherds  	  the sheep  	  B  
Mary tucked her daughter Anne into bed ,  so that   she could work .  	  she  	 10 	  mary  	  mary's daughter  	  A  
Mary tucked her daughter Anne into bed ,  so that   she could sleep .  	  she  	 10 	  mary  	  mary's daughter  	  B  
Fred and Alice had very warm down coats ,  but  they were not prepared for the cold in Alaska .  	 they  	 10 	 fred and alice  	  coats  	  A 
Fred and Alice had very warm down coats ,  but  they were not enough for the cold in Alaska .  	 they  	 10 	 fred and alice  	  coats  	  B 
Thomson visited Cooper's grave in 1765 .  At that date  he had been travelling for five years .  	 he  	 10 	  thomson  	  cooper  	  A  
Thomson visited Cooper's grave in 1765 .  At that date  he had been dead for five years .  	 he  	 10 	  thomson  	  cooper  	  B 
Jackson was greatly influenced by Arnold ,  though   he lived two centuries later .  	  he  	 8 	  jackson  	  arnold  	  A  
Jackson was greatly influenced by Arnold ,  though   he lived two centuries earlier .  	  he  	 8 	  jackson  	  arnold  	  B  
I can't cut that tree down with that axe;  it is too thick .  	 it  	 9 	  the tree  	  the axe  	  A  
I can't cut that tree down with that axe;  it is too small .  	 it  	 9 	  the tree  	  the axe  	  B  
The foxes are getting in at night and attacking the chickens .  I shall haveto kill  them .  	  them  	 16 	  the foxes  	  the chickens  	  A  
The foxes are getting in at night and attacking the chickens .  I shall haveto guard  them .  	  them  	 16 	  the foxes  	  the chickens  	  B  
The foxes are getting in at night and attacking the chickens .    They have gotten very bold .  	  They  	 12 	  the foxes  	  the chickens  	  A  
The foxes are getting in at night and attacking the chickens .    They have gotten very nervous .  	  They  	 12 	  the foxes  	  the chickens  	  B  
Fred covered his eyes with his hands ,  because the wind was blowing sandaround .  He opened  them when the wind stopped .  	  them  	 17 	  his eyes  	  his hands  	  A  
Fred covered his eyes with his hands ,  because the wind was blowing sandaround .  He lowered  them when the wind stopped .  	  them  	 17 	  his eyes  	  his hands  	  B  
The actress used to be named Terpsichore ,  but she changed it to Tina a few years ago ,  because she figured   it was too hard to pronounce .  	  it  	 22 	  terpsichore  	  tina  	  A  
The actress used to be named Terpsichore ,  but she changed it to Tina a few years ago ,  because she figured   it was easier to pronounce .  	  it  	 22 	  terpsichore  	  tina  	  B  
Fred watched TV while George went out to buy groceries .  After an hour   he got up .  	  he  	 14 	  fred  	  george  	  A  
Fred watched TV while George went out to buy groceries .  After an hour   he got back .  	  he  	 14 	  fred  	  george  	  B  
Fred was supposed to run the dishwasher ,  but he put it off ,   becausehe wanted to watch TV .  But the show turned out to be boring ,  so hechanged his mind and turned   it on .  	  it  	 35 	  the dishwasher  	  the tv  	  A  
Fred was supposed to run the dishwasher ,  but he put it off ,   becausehe wanted to watch TV .  But the show turned out to be boring ,  so hechanged his mind and turned   it off .  	  it  	 35 	  the dishwasher  	  the tv  	  B  
Fred is the only man still alive who remembers my great-grandfather .   He is a remarkable man .  	 He  	 12 	  fred  	  my great-grandfather  	  A  
Fred is the only man still alive who remembers my great-grandfather .   He was a remarkable man .  	 He  	 12 	  fred  	  my great-grandfather  	  B  
Fred is the only man alive who still remembers my father as an infant . When Fred first saw my father ,   he was twelve years old .  	 he  	 22 	 fred  	 my father  	  A  
Fred is the only man alive who still remembers my father as an infant . When Fred first saw my father ,   he was twelve months old .  	 he  	 22 	 fred  	 my father  	  B  
In July ,  Kamtchatka declared war on Yakutsk .  Since Yakutsk's army was much better equipped and ten times larger ,    they were defeated within weeks .  	  they  	 21 	  kamchatka  	  yakutsk  	  A  
In July ,  Kamtchatka declared war on Yakutsk .  Since Yakutsk's army was much better equipped and ten times larger ,    they were victorious within weeks .  	  they  	 21 	  kamchatka  	  yakutsk  	  B  
Look! There is a minnow swimming right below that duck!   It had better get away to safety fast! 	  It  	 10 	  the minnow  	  the duck  	  A  
Look! There is a shark swimming right below that duck!   It had better get away to safety fast! 	  It  	 10 	  the shark   	  the duck  	  B  
Archaeologists have concluded that humans lived in Laputa 20 , 000 years ago .   They hunted for evidence on the river banks .  	 They  	 14 	  archaeologists   	  prehistoric humans   	  A  
Archaeologists have concluded that humans lived in Laputa 20 , 000 years ago .   They hunted for deer on the river banks .  	 They  	 14 	  archaeologists   	  prehistoric humans   	  B  
The scientists are studying three species of fish that have recentlybeen found living in the Indian Ocean .   They began two years ago .  	 They  	 18 	  the scientists  	  the fish  	  A  
The scientists are studying three species of fish that have recentlybeen found living in the Indian Ocean .   They appeared two years ago .  	 They  	 18 	  the scientists  	  the fish  	  B  
The journalists interviewed the stars of the new movie .    They were very persistent ,  so the interview lasted for a long time .  	  They  	 10 	  the journalists  	  the stars  	  A  
The journalists interviewed the stars of the new movie .    They were very cooperative ,  so the interview lasted for a long time .  	  They  	 10 	  the journalists  	  the stars  	  B  
The police arrested all of the gang members .    They were trying to stop the drug trade in the neighborhood .  	  They  	 9 	  the police  	  the gang members  	  A  
The police arrested all of the gang members .    They were trying to run the drug trade in the neighborhood .  	  They  	 9 	  the police  	  the gang members  	  B  
I put the cake away in the refrigerator .    It has a lot of butter in it .    	  It  	 9 	  the cake  	  the refrigerator  	  A  
I put the cake away in the refrigerator .    It has a lot of leftovers in it .    	  It  	 9 	  the cake  	  the refrigerator  	  B  
Sam broke both his ankles and he's walking with crutches .  But a monthor so from now   they should be better .  	  they  	 17 	  the ankles  	  the crutches  	  A  
Sam broke both his ankles and he's walking with crutches .  But a monthor so from now   they should be unnecessary .  	  they  	 17 	  the ankles  	  the crutches  	  B  
When the sponsors of the bill got to the town hall ,  they were surprisedto find that the room was full of opponents .    Theywere very much in the minority .  	  They 	 24 	  the sponsors  	  the opponents  	  A  
When the sponsors of the bill got to the town hall ,  they were surprisedto find that the room was full of opponents .    Theywere very much in the majority .  	  They 	 24 	  the sponsors  	  the opponents  	  B  
Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies .  Next time ,  we should make more of   them .  	  them  	 24 	  the oatmeal cookies  	  the chocolate chip cookies  	  A  
Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies .  Next time ,  we should make fewer of   them .  	  them  	 24 	  the oatmeal cookies  	  the chocolate chip cookies  	  B  
We had hoped to place copies of our newsletter on all the chairs in theauditorium ,  but there were simply not enough of   them .  	  them  	 23 	 copies of the newsletter  	 chairs   	  A  
We had hoped to place copies of our newsletter on all the chairs in theauditorium ,  but there were simply too many of   them .  	  them  	 23 	 copies of the newsletter  	 chairs   	  B  
I stuck a pin through a carrot .  When I pulled the pin out ,    it left a hole .  	  it  	 15 	  the pin  	  the carrot  	  A  
I stuck a pin through a carrot .  When I pulled the pin out ,    it had a hole .  	  it  	 15 	  the pin  	  the carrot  	  B  
I couldn't find a spoon ,  so I tried using a pen to stir my coffee .  But that turned out to be a bad idea ,  because   it got full of coffee .  	  it  	 28 	  the pen  	  the coffee  	  A  
I couldn't find a spoon ,  so I tried using a pen to stir my coffee .  But that turned out to be a bad idea ,  because   it got full of ink .  	  it  	 28 	  the pen  	  the coffee  	  B  
Steve follows Fred's example in everything .   He admires him hugely .  	 He  	 7 	 steve   	 fred   	  A  
Steve follows Fred's example in everything .   He influences him hugely .  	 He  	 7 	 steve   	 fred   	  B  
The table won't fit through the doorway because   it is too wide .  	  it  	 8 	  the table  	  the doorway  	  A  
The table won't fit through the doorway because   it is too narrow .  	  it  	 8 	  the table  	  the doorway  	  B  
Grace was happy to trade me her sweater for my jacket .  She thinks   it looks dowdy on her .  	  it  	 14 	  the sweater  	  the jacket  	  A  
Grace was happy to trade me her sweater for my jacket .  She thinks   it looks great on her .  	  it  	 14 	  the sweater  	  the jacket  	  B  
John hired Bill to take care of  him.  	 him 	 7 	  john  	  bill  	  A  
John hired himself out to Bill to take care of  him.  	 him 	 10 	  john  	  bill  	  B  
John promised Bill to leave ,  so an hour later  he left .  	 he  	 10 	 john  	 bill  	  A  
John ordered Bill to leave ,  so an hour later  he left .  	 he  	 10 	 john  	 bill  	  B  
Sam Goodman's biography of the Spartan general Xenophanesconveys a vivid sense of the difficulties   he faced in his research .  	  he  	 14 	  goodman  	  xenophanes  	  A  
Sam Goodman's biography of the Spartan general Xenophanesconveys a vivid sense of the difficulties   he faced in his childhood .  	  he  	 14 	  goodman  	  xenophanes  	  B  
Emma's mother had died long ago ,  and  her education had been managed by an excellent woman as governess .  	 her  	 8 	  emma  	  emma's mother  	  A  
Emma's mother had died long ago ,  and  her place had been taken by an excellent woman as governess .  	 her  	 8 	  emma  	  emma's mother  	  B  
Jane knocked on Susan's door but   she did not get an answer .  	  she  	 6 	  jane  	  susan  	  A  
Jane knocked on Susan's door but   she did not answer .  	  she  	 6 	  jane  	  susan  	  B  
Joe paid the detective after   he received the final report on the case .   	  he  	 5 	  joe  	  the detective  	  A  
Joe paid the detective after   he delivered the final report on the case .   	  he  	 5 	  joe  	  the detective  	  B  
Beth didn't get angry with Sally ,  who had cut her off ,  because  she stopped and counted to ten .  	 she  	 14 	  beth  	  sally  	  A  
Beth didn't get angry with Sally ,  who had cut her off ,  because  she stopped and apologized .  	 she  	 14 	  beth  	  sally  	  B  
Jim signaled the barman and gestured toward  his empty glass 	 his  	 7 	  jim  	  the barman  	  A  
Jim signaled the barman and gestured toward  his bathroom key .  	 his  	 7 	  jim  	  the barman  	  B  
Dan took the rear seat while Bill claimed the front because  his "Dibs!" was slow .  	 his  	 11 	  dan  	  bill  	  A  
Dan took the rear seat while Bill claimed the front because  his "Dibs!" was quicker .  	 his  	 11 	  dan  	  bill  	  B  
Tom said "Check" to Ralph as he moved  his bishop .  	 his  	 8 	  tom  	  ralph  	  A  
Tom said "Check" to Ralph as he took his bishop .  	 his  	 8 	  tom  	  ralph  	  B  
As Andrea in the crop duster passed over Susan ,   she could see the landing strip .  	 she  	 10 	  andrea  	  susan  	  A  
As Andrea in the crop duster passed over Susan ,   she could see the landing gear .  	 she  	 10 	  andrea  	  susan  	  B  
Tom gave Ralph a lift to school so   he wouldn't have to drive alone .  	  he  	 8 	  tom  	  ralph  	  A  
Tom gave Ralph a lift to school so   he wouldn't have to walk .  	  he  	 8 	  tom  	  ralph  	  B  
Bill passed the half-empty plate to John because  he was full .  	 he  	 8 	 bill  	 john  	  A  
Bill passed the half-empty plate to John because  he was hungry .  	 he  	 8 	 bill  	 john  	  B  
Bill passed the gameboy to John because  his turn was over .  	 his  	 7 	 bill  	 john  	  A  
Bill passed the gameboy to John because  his turn was next .  	 his  	 7 	 bill  	 john  	  B  
The man lifted the boy onto   his shoulders .  	  his  	 6 	  the man  	  the boy  	  A  
The man lifted the boy onto   his bunk bed .  	  his  	 6 	  the man  	  the boy  	  B  
 Stretching her back ,  the woman smiled at the girl .  	 her  	 1 	  the woman  	  the girl  	  A  
 Patting her back ,  the woman smiled at the girl .  	 her  	 1 	  the woman  	  the girl  	  B  
Billy cried because Toby wouldn't accept  his toy .  	 his  	 6 	  billy  	  toby  	  A  
Billy cried because Toby wouldn't share his toy .  	 his  	 6 	  billy  	  toby  	  B  
Lily spoke to Donna ,  breaking  her silence .  	 her  	 6 	 lily   	 donna  	  A  
Lily spoke to Donna ,  breaking  her concentration .  	 her  	 6 	 lily   	 donna  	  B  
When Tommy dropped his ice cream ,  Timmy giggled ,  so father gave   him a sympathetic look .  	  him  	 13 	  tommy  	  timmy  	  A  
