text_original	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	answerA	answerA_syn	answerB	answerB_syn	correctAnswer	Name_A	Name_B
The man couldn't lift his son because  he was so weak .	the man , which we had seen walk by with his nephew , couldn't lift his son because he was so weak .	the adult couldn't lift the child because  he was so weak .	The son couldn't be lifted by the man because he was so weak .	he	7	9	7	4	the man	the adult	the son	the child	A .		
The man couldn't lift his son because  he was so heavy .	the man , which you had seen walk by with his nephew , couldn't lift his son because he was so heavy .	the adult couldn't lift the child because  he was so heavy .	The son couldn't be lifted by the man because he was so heavy .	he	7	9	7	18	the man	the adult	the son	the child	B .		
The large ball crashed right through the table because  it was made of steel .	the large ball , which we had seen on the floor , crashed right through the table because it was made of steel .	the large sphere crashed right through the bench because  it was made of steel .	The table was crashed through by the large ball because it was made of steel .	it	9	10	9	18	the large ball	the large sphere	the table	the bench	A .		
The large ball crashed right through the table because  it was made of styrofoam .	the large ball , which you had seen on the floor , crashed right through the table because it was made of styrofoam .	the large sphere crashed right through the bench because  it was made of styrofoam .	The table was crashed through by the large ball because it was made of styrofoam .	it	9	10	9	18	the large ball	the large sphere	the table	the bench	B .		
John couldn't see the stage with Billy in front of him because he is so short .	john , who you know from last week's meeting with larry , couldn't see the stage with billy in front of him because he is so short .	luke couldn't see the stage with adam in front of him because he is so short .	The stage couldn't be seen by John with Billy in front of him because he is so short .	he	12	14	12	23	john	luke	billy	adam	A .		
John couldn't see the stage with Billy in front of him because he is so tall .	john , which you had seen at last week's meeting with larry , couldn't see the stage with billy in front of him because he is so tall .	luke couldn't see the stage with adam in front of him because he is so tall .	The stage couldn't be seen by John with Billy in front of him because he is so tall .	he	12	14	12	24	john	luke	billy	adam	B .		
Tom threw his schoolbag down to Ray after  he reached the top of the stairs .	tom , who you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the top of the stairs .	ted threw his schoolbag down to clark after  he reached the top of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the top of the stairs .	he	8	10	8	19	tom	ted	ray	clark	A		
Tom threw his schoolbag down to Ray after  he reached the bottom of the stairs .	tom , who you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the bottom of the stairs .	ted threw his schoolbag down to clark after  he reached the botted of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the bottom of the stairs .	he	8	10	8	19	tom	ted	ray	clark	B		
Although they ran at about the same speed ,  Sue beat Sally because   she had such a good start .	although they ran at about the same speed , sue , which he had seen pass through with patty , beat sally because she had such a good start .	although they ran at about the same speed ,  fanny beat dana because   she had such a good start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a good start .	she	13	15	13	23	sue	fanny	sally	dana	A		
Although they ran at about the same speed ,  Sue beat Sally because   she had such a bad start .	although they ran at about the same speed , sue , which you had seen pass through with patty , beat sally because she had such a bad start .	although they ran at about the same speed ,  fanny beat dana because   she had such a bad start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a bad start .	she	13	15	13	23	sue	fanny	sally	dana	B		
The sculpture rolled off the shelf because   it wasn't anchored .	the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't anchored .	the mold rolled off the rack because   it wasn't anchored .	-	it	7	-	7	16	the sculpture	the mold	the shelf	the rack	A		
The sculpture rolled off the shelf because   it wasn't level .	the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't level .	the mold rolled off the rack because   it wasn't level .	-	it	7	-	7	16	the sculpture	the mold	the shelf	the rack	B		
Sam's drawing was hung just above Tina's and   it did look much better with another one below it .	sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one below it .	arthur's drawing was hung just above molly's and   it did look much better with another one below it .	-	it	8	-	8	17	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	A		
Sam's drawing was hung just above Tina's and   it did look much better with another one above it .	sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one above it .	arthur's drawing was hung just above molly's and   it did look much better with another one above it .	-	it	8	-	8	17	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	B		
Anna did a lot better than her good friend Lucy on the test because   she had studied so hard .	anna , who you know from our brunch with sally last week , did a lot better than her good friend lucy on the test because she had studied so hard .	heather did a lot better than her good friend lara on the test because   she had studied so hard .	-	she	14	-	14	26	anna	heather	lucy	lara	A		
Anna did a lot worse than her good friend Lucy on the test because   she had studied so hard .	anna , which he had seen at the brunch with sally last week , did a lot worse than her good friend lucy on the test because she had studied so hard .	heather did a lot worse than her good friend lara on the test because   she had studied so hard .	-	she	14	-	14	27	anna	heather	lucy	lara	B		
The firemen arrived after the police because   they were coming from so far away .	the firemen , which you had seen rush past the red delivery van , arrived after the police because they were coming from so far away .	the engineman arrived after the cops because   they were coming from so far away .	-	they	7	-	7	19	the firemen	the engineman	the police	the cops	A		
The firemen arrived before the police because   they were coming from so far away .	the firemen , which she had seen rush past the red delivery van , arrived before the police because they were coming from so far away .	the engineman arrived before the cops because   they were coming from so far away .	-	they	7	-	7	19	the firemen	the engineman	the police	the cops	B		
Frank was upset with Tom because the toaster  he had bought from him didn't work .	frank , which we had seen at jon's bar mitzvah , was upset with tom because the toaster he had bought from him didn't work .	freddy was upset with travis because the toaster  he had bought from him didn't work .	-	he	8	-	8	18	frank	freddy	tom	travis	A		
Frank was upset with Tom because the toaster  he had sold him didn't work .	frank , which we had seen at jon's bar mitzvah , was upset with tom because the toaster he had sold him didn't work .	freddy was upset with travis because the toaster  he had sold him didn't work .	-	he	8	-	8	3	frank	freddy	tom	travis	B		
Jim yelled at Kevin because  he was so upset .	jim , who we know from last month's squash game against bryan , yelled at kevin because he was so upset .	jerry yelled at larry because  he was so upset .	Kevin was yelled at by Jim because he was so upset .	he	5	7	5	17	jim	jerry	kevin	larry	A		
Jim comforted Kevin because  he was so upset .	jim , who we know from last month's squash game against bryan , comforted kevin because he was so upset .	jerry comforted larry because  he was so upset .	Kevin was comforted by Jim because he was so upset .	he	4	6	4	16	jim	jerry	kevin	larry	B		
The sack of potatoes had been placed above the bag of flour ,  so  it had to be moved first .	the sack of potatoes , that is mentioned in the list of groceries  , had been placed above the bag of flour , so it had to be moved first .	the package of potatoes had been placed above the packet of flour ,  so  it had to be moved first .	-	it	13	-	14	24	the sack of potatoes	the package of potatoes	the bag of flour	the packet of flour	A		
The sack of potatoes had been placed below the bag of flour ,  so  it had to be moved first .	the sack of potatoes , that is mentioned in the list of groceries , had been placed below the bag of flour , so it had to be moved first .	the package of potatoes had been placed below the packet of flour ,  so  it had to be moved first .	-	it	13	-	14	24	the sack of potatoes	the package of potatoes	the bag of flour	the packet of flour	B		
Pete envies Martin although  he is very successful .	pete , who you know from an event at bob's office , envies martin although he is very successful .	dick envies gareth although  he is very successful .	Martin is envied by Pete although he is very successful .	he	4	6	4	15	pete	dick	martin	gareth	A		
Pete envies Martin because  he is very successful .	pete , who you know from an event at bob's office , envies martin because he is very successful .	dick envies gareth because  he is very successful .	Martin is envied by Pete because he is very successful .	he	4	6	4	3	pete	dick	martin	gareth	B		
The older students were bullying the younger ones ,  so we punished  them .	the older students , who she had discussed with the teacher , were bullying the younger ones , so we punished them .	the older pupils were bullying the younger ones ,  so we punished  them .	The younger students were being bullied by the older ones , so we punished them .	them	12	14	12	21	the older students	the older pupils	the younger students	the younger pupils	A		
The older students were bullying the younger ones ,  so we rescued them .	the older students , who she had discussed with the teacher , were bullying the younger ones , so we rescued them .	the older pupils were bullying the younger ones ,  so we rescued them .	The younger students were being bullied by the older ones , so we rescued them .	them	12	14	12	21	the older students	the older pupils	the younger students	the younger pupils	B		
I poured water from the bottle into the cup until   it was empty .	i poured water from the bottle , which he had seen beside the six-pack of beer , into the cup until it was empty .	i poured water from the jar into the glass until   it was empty .	Water was poured from the bottle into the cup by me until it was empty .	it	10	12	10	21	the bottle	the jar	the cup	the glass	A		
I poured water from the bottle into the cup until   it was full .	i poured water from the bottle , which she had seen beside the six-pack of beer , into the cup until it was full .	i poured water from the jar into the glass until   it was full .	Water was poured from the bottle into the cup by me until it was full .	it	10	12	10	21	the bottle	the jar	the cup	the glass	B		
Susan knows all about Ann's personal problems because   she is nosy .	susan , who you know from barbara's cooking tv show , knows all about ann's personal problems because she is nosy .	tara knows all about polly's personal problems because   she is nosy .	Ann's personal problems are known all about by Susan because she is nosy .	she	8	10	8	18	susan	tara	ann	polly	A		
Susan knows all about Ann's personal problems because   she is indiscreet .	susan , who you know from barbara's cooking tv show , knows all about ann's personal problems because she is indiscreet .	tara knows all about polly's personal problems because   she is indiscreet .	Ann's personal problems are known all about by Susan because she is indiscreet .	she	8	10	8	3	susan	tara	ann	polly	B		
Sid explained his theory to Mark but   he couldn't convince him .	sid , which we had seen on the discussion panel with chris , explained his theory to mark but he couldn't convince him .	john explained his theory to jad but   he couldn't convince him .	The theory was explained by Sid to Mark but he couldn't convince him .	he	7	9	7	3	sid	john	mark	jad	A		
Sid explained his theory to Mark but   he couldn't understand him .	sid , who we know from the discussion panel with chris , explained his theory to mark but he couldn't understand him .	john explained his theory to jad but   he couldn't understand him .	The theory was explained by Sid to Mark but he couldn't understand him .	he	7	9	7	18	sid	john	mark	jad	B		
Susan knew that Ann's son had been in a car accident ,  so she told her about it .	susan , who you know from the skiing trip with clara , knew that ann's son had been in a car accident , so she told her about it .	kara knew that suzy's son had been in a car accident ,  so she told her about it .	It was known by Susan that Ann's son had been in a car accident , so she told her about it .	she	13	16	13	24	susan	kara	ann	suzy	A		
Susan knew that Ann's son had been in a car accident ,  because she told her about it .	susan , who we know from the skiing trip with clara , knew that ann's son had been in a car accident , because she told her about it .	kara knew that suzy's son had been in a car accident ,  because she told her about it .	It was known by Susan that Ann's son had been in a car accident , because she told her about it .	she	13	16	13	24	susan	kara	ann	suzy	B		
Joe's uncle can still beat him at tennis ,  even though   he is 30 years younger .	Joe's uncle , who you met with his nephew last week , can still beat him at tennis , even though he is 30 years younger .	pim's uncle can still beat him at tennis ,  even though   he is 30 years younger .	Joe can still be beaten at tennis by his uncle , even though he is 30 years younger .	he	11	13	11	21	joe	pim	joe's uncle	pim's uncle	A		
Joe's uncle can still beat him at tennis ,  even though   he is 30 years older .	Joe's uncle , who you met with his nephew last week , can still beat him at tennis , even though he is 30 years older .	pim's uncle can still beat him at tennis ,  even though   he is 30 years older .	Joe can still be beaten at tennis by his uncle , even though he is 30 years older .	he	11	13	11	21	joe	pim	joe's uncle	pim's uncle	B		
The painting in Mark's living room shows an oak tree .   it is to the right of the bookcase .	the painting , that is close to the birdcage by the window , in mark's living room shows an oak tree . it is to the right of the bookcase .	the picture in mark's living room shows a tulip tree .   it is to the right of the bookcase .	An oak tree is shown in the painting in Mark's living room . it is to the right of the bookcase .	it	11	13	11	22	the painting	the picture	the oak tree	the tulip tree	A		
The painting in Mark's living room shows an oak tree .   it is to the right of a house .	the painting , that is close to the birdcage by the window , in mark's living room shows an oak tree . it is to the right of a house .	the picture in mark's living room shows an tulip tree .   it is to the right of a house .	An oak tree is shown in the painting in Mark's living room . it is to the right of a house .	it	11	13	11	22	the painting	the picture	the oak tree	the tulip tree	B		
There is a gap in the wall .  You can see the garden through   it .	There is a gap , that is wider than a kitchen sink drain , in the wall . You can see the garden through it .	there is a hole in the partition .  you can see the garden through   it .	There is a gap in the wall . The garden can be seen through it .	it	14	14	14	24	the gap	the hole	the wall	the partition	A		
There is a gap in the wall .  You can see the garden behind  it .	There is a gap , that is wider than a kitchen sink drain , in the wall . You can see the garden behind it .	there is a hole in the partition .  you can see the garden behind  it .	There is a gap in the wall . The garden can be seen behind it .	it	14	14	14	24	the gap	the hole	the wall	the partition	B		
The drain is clogged with hair .    It has to be cleaned .	the drain , that is located at the rear end of the barbershop , is clogged with hair . it has to be cleaned .	the sink is clogged with grease .    it has to be cleaned .	-	It	7	-	7	19	the drain	the sink	the hair	the grease	A		
The drain is clogged with hair .    It has to be removed .	the drain , that is located at the rear end of the barbershop , is clogged with hair . it has to be removed .	the sink is clogged with grease .    it has to be removed .	-	It	7	-	7	19	the drain	the sink	the hair	the grease	B		
My meeting started at 4:00 and I needed to catch the train at 4:30 ,  so there wasn't much time .  Luckily ,    it was short ,  so it worked out .	My meeting , which had been scheduled a long time ago , started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was short , so it worked out .	my appointment started at 4:00 and i needed to catch the flight at 4:30 ,  so there wasn't much time .  luckily ,    it was short ,  so it worked out .	-	it	23	-	23	33	the meeting	the appointment	the train	the flight	A		
My meeting started at 4:00 and I needed to catch the train at 4:30 ,  so there wasn't much time .  Luckily ,    it was delayed ,  so it worked out .	My meeting , which had been scheduled a long time ago , started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was delayed , so it worked out .	my appointment started at 4:00 and i needed to catch the flight at 4:30 ,  so there wasn't much time .  luckily ,    it was delayed ,  so it worked out .	-	it	23	-	23	33	the meeting	the appointment	the train	the flight	B		
There is a pillar between me and the stage ,  and I can't see around  it .	There is a pillar , which was put there to support the coffee stand , between me and the stage , and I can't see around it .	there is a pedestal between me and the arena ,  and i can't see around  it .	There is a pillar between me and the stage , it can not be seen around .	it	15	10	15	26	the pillar	the pedestal	the stage	the arena	A		
There is a pillar between me and the stage ,  and I can't see   it .	There is a pillar , which was put there to support the coffee stand , between me and the stage , and I can't see it .	there is a pedestal between me and the arena ,  and i can't see   it .	There is a pillar between me and the stage , it can not be seen .	it	14	10	14	25	the pillar	the pedestal	the stage	the arena	B		
They broadcast an announcement ,  but a subway came into the station and I couldn't hear it .	They broadcast an announcement , which was the late arrival of a train , but a subway came into the station and I couldn't hear it .	they broadcast a message,  but a metro came into the station and i couldn't hear it .	An announcement was broadcast by them , but a subway came into the station and I couldn't hear it .	it	16	18	16	25	the announcement	the message	the subway	the metro	A		
They broadcast an announcement ,  but a subway came into the station and I couldn't hear over it .	They broadcast an announcement , which was the late arrival of a train , but a subway came into the station and I couldn't hear over it .	they broadcast a message,  but a metro came into the station and i couldn't hear over it .	An announcement was broadcast by them , but a subway came into the station and I couldn't hear over it .	it	17	19	17	26	the announcement	the message	the subway	the metro	B		
In the middle of the outdoor concert ,  the rain started falling ,  but  it continued until 10 .	In the middle of the outdoor concert , which started at the same time but lasted longer than the screening of the film , the rain started falling , but it continued until 10 .	in the middle of the outdoor gig,  the hail started falling ,  but  it continued until 10 .	-	it	14	-	14	30	the concert	the gig	the rain	the hail	A		
In the middle of the outdoor concert ,  the rain started falling ,  and  it continued until 10 .	In the middle of the outdoor concert , which started at the same time but lasted longer than the screening of the film , the rain started falling , and it continued until 10 .	in the middle of the outdoor gig,  the hail started falling ,  and  it continued until 10 .	-	it	14	-	14	30	the concert	the gig	the rain	the hail	B		
I used an old rag to clean the knife , and then I put it in the trash .	I used an old rag , which I found near the large bin in the living room , to clean the knife , and then I put it in the trash .	i used an old cloth to clean the blade ,  and then i put   it in the trash .	An old rag was used by me to clean the knife , then it was put in the trash .	it	14	13	14	27	the rag	the cloth	the knife	the blade	A		
I used an old rag to clean the knife , and then I put it in the drawer .	I used an old rag , which I found near the large bin in the living room , to clean the knife , and then I put it in the drawer .	i used an old cloth to clean the blade ,  and then i put   it in the drawer .	An old rag was used by me to clean the knife , then it was put in the drawer .	it	14	13	14	27	the rag	the cloth	the knife	the blade	B		
Ann asked Mary what time the library closes ,  because  she had forgotten .	ann , who you know from our dinner with sara , asked mary what time the library closes , because she had forgotten .	patty asked lola what time the library closes ,  because  she had forgotten .	Mary was asked by Ann what time the library closes , because she had forgotten .	she	10	12	10	20	ann	patty	mary	lola	A		
Ann asked Mary what time the library closes ,  but  she had forgotten .	ann , who you know from dinner with sara , asked mary what time the library closes , but she had forgotten .	patty asked lola what time the library closes ,  but  she had forgotten .	Mary was asked by Ann what time the library closes , but she had forgotten .	she	10	12	10	3	ann	patty	mary	lola	B		
I took the water bottle out of the backpack so that  it would be handy .	i took the water bottle , which we had seen earlier on the ground , out of the backpack so that it would be handy .	i took thermos out of the tote bag so that  it would be handy .	The water bottle was taken out of the backpack by me so that it would be handy .	it	11	13	10	21	the water bottle	thermos	the backpack	the tote bag	A		
I took the water bottle out of the backpack so that  it would be lighter .	i took the water bottle , which he had seen earlier on the ground , out of the backpack so that it would be lighter .	i took thermos out of the tote bag so that  it would be lighter .	The water bottle was taken out of the backpack by me so that it would be lighter .	it	11	13	10	21	the water bottle	thermos	the backpack	the tote bag	B		
I couldn't put the pot on the shelf because  it was too tall .	i couldn't put the pot , which he had seen under the sink , on the shelf because it was too tall .	i couldn't put the saucepan on the rack because  it was too tall .	The pot couldn't be put on the self by me because it was too tall .	it	9	11	9	18	the pot	the saucepan	the shelf	the rack	A		
I couldn't put the pot on the shelf because  it was too high .	i couldn't put the pot , which we had seen under the sink , on the shelf because it was too high .	i couldn't put the saucepan on the rack because  it was too high .	The pot couldn't be put on the self by me because it was too high .	it	9	11	9	18	the pot	the saucepan	the shelf	the rack	B		
I'm sure that my map will show this building ; it is very good .	I'm sure that my map , which I drew up before I started travelling , will show this building ; it is very good .	i'm sure that my sketch will show this edifice ;   it is very good .	I'm sure that the building will be shown by my map ; it is very good .	it	10	12	10	20	the map	the sketch	the building	the edifice	A		
I'm sure that my map will show this building ; it is very famous .	I'm sure that my map , which I drew up before I started travelling , will show this building ; it is very famous .	i'm sure that my sketch will show this edifice ;   it is very famous .	I'm sure that the building will be shown by my map ; it is very famous .	it	10	12	10	20	the map	the sketch	the building	the edifice	B		
Bob paid for Charlie's college education .   He is very generous .	bob , who we had discussed raising funding for john with , paid for charlie's college education . he is very generous .	dan paid for justin's college education .   he is very generous .	Charlie's college education was paid for by Bob . He is very generous .	He	7	9	7	18	bob	dan	charlie	justin	A .		
Bob paid for Charlie's college education .   He is very grateful .	bob , who you had discussed raising funding for john with , paid for charlie's college education . he is very grateful .	dan paid for justin's college education .   he is very grateful .	Charlie's college education was paid for by Bob . He is very grateful .	He	7	9	7	18	bob	dan	charlie	justin	B .		
Bob paid for Charlie's college education ,  but now Charlie acts as though it never happened .    He is very hurt .	bob , who you had discussed raising funding for john with , paid for charlie's college education , but now charlie acts as though it never happened . he is very hurt .	dan paid for justin's college education ,  but now justin acts as though it never happened .    he is very hurt .	Charlie's college education was paid for by Bob , but now Charlie acts as though it never happened . He is very hurt .	He	16	19	17	28	bob	dan	charlie	justin	A .		
Bob paid for Charlie's college education ,  but now Charlie acts as though it never happened .    He is very ungrateful .	bob , who we had discussed raising funding for john with , paid for charlie's college education , but now charlie acts as though it never happened . he is very ungrateful .	dan paid for justin's college education ,  but now justin acts as though it never happened .    he is very ungrateful .	Charlie's college education was paid for by Bob , but now Charlie acts as though it never happened . He is very ungrateful .	He	16	19	17	28	bob	dan	charlie	justin	B .		
Bob was playing cards with Adam and was way ahead .  If Adam hadn't had a sudden run of good luck , he would have won .	bob , who you know from the dinner party at perry's , was playing cards with adam and was way ahead . if adam hadn't had a sudden run of good luck , he would have won .	dan was playing cards with dirk and was way ahead .  if dirk hadn't had a sudden run of good luck , he would have won .	-	he	21	-	22	33	bob	dan	adam	dirk	A		
Bob was playing cards with Adam and was way ahead .  If Adam hadn't had a sudden run of good luck , he would have lost .	bob , who you know from the dinner party at perry's , was playing cards with adam and was way ahead . if adam hadn't had a sudden run of good luck , he would have lost .	dan was playing cards with dirk and was way ahead .  if dirk hadn't had a sudden run of good luck , he would have lost .	-	he	21	-	22	33	bob	dan	adam	dirk	B		
Adam can't leave work here until Bob arrives to replace him .  If Bob had left home for work on time ,    he would be gone by this time .	adam , who you know from a class taught by noam in college , can't leave work here until bob arrives to replace him . if bob had left home for work on time , he would be gone by this time .	lance can't leave work here until rob arrives to replace him .  if rob had left home for work on time ,    he would be gone by this time .	-	he	22	-	22	35	adam	lance	bob	rob	A		
Adam can't leave work here until Bob arrives to replace him .  If Bob had left home for work on time ,    he would be here by this time .	adam , who you know from a class taught by noam in college , can't leave work here until bob arrives to replace him . if bob had left home for work on time , he would be here by this time .	lance can't leave work here until rob arrives to replace him .  if rob had left home for work on time ,    he would be here by this time .	-	he	22	-	22	35	adam	lance	bob	rob	B		
If the con artist had succeeded in fooling Sam ,  he would have gotten a lot of money .	if the con artist , who we had discussed the legal position of with jack , had succeeded in fooling sam , he would have gotten a lot of money .	if the fraudster had succeeded in fooling terry ,  he would have gotten a lot of money .	-	he	10	-	9	22	the con artist	the fraudster	sam	terry	A		
If the con artist had succeeded in fooling Sam ,  he would have lost a lot of money .	if the con artist , who he had discussed the legal position of with jack , had succeeded in fooling sam , he would have lost a lot of money .	if the fraudster had succeeded in fooling terry ,  he would have lost a lot of money .	-	he	10	-	9	6	the con artist	the fraudster	sam	terry	B		
It was a summer afternoon ,  and the dog was sitting in the middle of the lawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was hot .	it was a summer afternoon , and the dog , which she had seen in the living room , was sitting in the middle of the lawn . after a while , it got up and moved to a spot under the tree , because it was hot .	it was a summer afternoon ,  and the canine was sitting in the middle of the lawn .  after a while ,  it got up and moved to a spot under the bush ,  because  it was hot .	It was a summer afternoon , and the lawn was sat in the middle of by the dog . After a while , it got up and moved to a spot under the tree , because it was hot .	it	34	36	35	32	the dog	the canine	the spot under the tree	the spot under bush	A		
It was a summer afternoon ,  and the dog was sitting in the middle of the lawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was cooler .	it was a summer afternoon , and the dog , which she had seen in the living room , was sitting in the middle of the lawn . after a while , it got up and moved to a spot under the tree , because it was cooler .	it was a summer afternoon ,  and the canine was sitting in the middle of the lawn .  after a while ,  it got up and moved to a spot under the bush ,  because  it was cooler .	It was a summer afternoon , and the lawn was sat in the middle of by the dog . After a while , it got up and moved to a spot under the tree , because it was cooler .	it	34	36	35	32	the dog	the canine	the spot under the tree	the spot under bush	B		
The cat was lying by the mouse hole waiting for the mouse ,  but it was too impatient .	the cat , which we had seen running away from the dog , was lying by the mouse hole waiting for the mouse , but it was too impatient .	the feline was lying by the rodent hole waiting for the rodent ,  but it was too impatient .	The mouse was waited for by lying by the cat lying by the mouse hole ,  but it was too impatient .	it	14	17	14	25	the cat	the feline	the mouse	the rodent	A		
The cat was lying by the mouse hole waiting for the mouse ,  but it was too cautious .	the cat , which she had seen running away from the dog , was lying by the mouse hole waiting for the mouse , but it was too cautious .	the feline was lying by the rodent hole waiting for the rodent ,  but it was too cautious .	The mouse was waited for by lying by the cat lying by the mouse hole , but it was too cautious .	it	14	17	14	25	the cat	the feline	the mouse	the rodent	B		
Anne gave birth to a daughter last month . She is a very charming woman .	anne , who you know from the yoga class at patty's  , gave birth to a daughter last month . she is a very charming woman .	patty gave birth to a daughter last month . she is a very charming woman .	A daughter was given birth to by Anne last month . She is a very charming woman .	She	9	11	9	3	anne	patty	anne's daughter	patty's daughter	A		
Anne gave birth to a daughter last month . She is a very charming baby .	anne , who we know from the yoga class at patty's  , gave birth to a daughter last month . she is a very charming baby .	patty gave birth to a daughter last month . she is a very charming baby .	A daughter was given birth to by Anne last month . She is a very charming baby .	She	9	11	9	20	anne	patty	anne's daughter	patty's daughter	B		
Alice tried frantically to stop her daughter from chatting at the party ,  leaving us to wonder why she was behaving so strangely .	alice , who you know from the dinner party at ella's , tried frantically to stop her daughter from chatting at the party , leaving us to wonder why she was behaving so strangely .	cora tried frantically to stop her daughter from chatting at the party ,  leaving us to wonder why she was behaving so strangely .	-	she	17	-	18	29	alice	Cora	alice's daughter	Cora's daughter	A		
Alice tried frantically to stop her daughter from barking at the party ,  leaving us to wonder why she was behaving so strangely .	alice , who you know from the dinner party at ella's , tried frantically to stop her daughter from barking at the party , leaving us to wonder why she was behaving so strangely .	cora tried frantically to stop her daughter from barking at the party ,  leaving us to wonder why she was behaving so strangely .	-	she	17	-	18	29	alice	Cora	alice's daughter	Cora's daughter	B		
