text_original	text_random	text_role_rev	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_rand	answerA	answerA_syn	answerB	answerB_syn	correctAnswer	Name_A	Name_B
The delivery truck zoomed by the school bus because   it was going so fast .	Is a relaxed home atmosphere enough to help her outgrow these traits ? ? I'm angry '' . The delivery truck zoomed by the school bus because it was going so fast . It says that `` in the event Congress does provide this increase in federal funds '' , the State Board of Education should be directed to `` give priority '' to teacher pay raises . Siebern hits homer		the delivery truck , which we had seen parked by the red car , zoomed by the school bus because it was going so fast .	the van zoomed by the coach because   it was going so fast .	The school bus was zoomed by by the delivery truck because it was going so fast .	it	9	11	7	20	27	the delivery truck	the van	the school bus	the coach	A .		
The delivery truck zoomed by the school bus because   it was going so slow .	Books are not the only resource of the system . The Soviet news agency TASS datelined from New York in English to Europe : The delivery truck zoomed by the school bus because it was going so slow . While in the service he attended radio school at Scott Field in Belleville , Ill. . Hotel Escape's Bonanza room has a real bonanza in its new attraction , the versatile `` Kings 4 , Plus Two '' .		the delivery truck , which she had seen parked by the red car , zoomed by the school bus because it was going so slow .	the van zoomed by the coach because   it was going so slow .	The school bus was zoomed by by the delivery truck because it was going so slow .	it	9	11	7	20	33	the delivery truck	the van	the school bus	the coach	B .		
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition .	Today , seven years after the date of my initial induction as a draftee , I am Assistant Professor of Philosophy and Science at St. Michael's College . In its present artless , low-budget form , the subject matter seems designed to invite censorial wrath . Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition . WBAI is on the right track : in the sound medium there has been excessive emphasis on music and news and there could and should be a place for theatre , as the Canadian and British Broadcasting Corporations continue to demonstrate . It has not been extirpated by ten years of Communist depersonalization .		frank , who we know from the dinner party at lenny's , felt vindicated when his longtime rival bill revealed that he was the winner of the competition .	victor felt vindicated when his longtime rival john revealed that he was the winner of the competition .	-	he	10	-	10	21	56	frank	victor	bill	john	A .		
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition .	Also under consideration is an increased investment in Cunard Eagle Airways which has applied to serve New York . Here , he is , quite persuasively , the very embodiment of meanness and slyness . Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition . I do not think that America is like Russia , not in the least ! ! But instead of delivering the ration -- either in actual commodities or in cash -- at intervals of perhaps two weeks or a month , the Belgians felt obliged to dole it out more often .		frank , which we had seen at the dinner party at lenny's , felt crushed when his longtime rival bill revealed that he was the winner of the competition .	victor felt crushed when his longtime rival john revealed that he was the winner of the competition .	-	he	10	-	10	22	45	frank	victor	bill	john	B .		
The man couldn't lift his son because  he was so weak .	Paul Paray , rounding out his current stint with the orchestra , is a solid musician , and the Philharmonic plays for him . Sam Rayburn was a good man , a good American , and , third , a good Democrat . The man couldn't lift his son because he was so weak . It was an excellent concert . More than a streak had ended .		the man , which we had seen walk by with his nephew , couldn't lift his son because he was so weak .	the adult couldn't lift the child because  he was so weak .	The son couldn't be lifted by the man because he was so weak .	he	7	9	7	4	50	the man	the adult	the son	the child	A .		
The man couldn't lift his son because  he was so heavy .	But one thing is for certain : There is no dissension between Mantle , the American League's Most Valuable Player in 1956 and 1957 , and Maris , the MVP in 1960 . As the girls come to belly dancing from this and other origins , the melting pot has never bubbled more intriguingly . The man couldn't lift his son because he was so heavy . The past usefulness of the anti-trust laws to management was explained by Thurman Arnold , in The Folklore of Capitalism , back in 1937 . Beebe tells of one private car that has gold plumbing .		the man , which you had seen walk by with his nephew , couldn't lift his son because he was so heavy .	the adult couldn't lift the child because  he was so heavy .	The son couldn't be lifted by the man because he was so heavy .	he	7	9	7	18	62	the man	the adult	the son	the child	B .		
The large ball crashed right through the table because  it was made of steel .	He is a man of major talent -- but a man of solitary , uncertain impulses . They've been in Dallas since 1921 . The large ball crashed right through the table because it was made of steel . In the case of Portugal , which a few weeks ago was rumored ready to walk out of the NATO Council should critics of its Angola policy prove harsh , there has been a noticeable relaxation of tension . Also set for appearances at the auditorium this season are : `` American Ballet Theatre '' on Jan. 27 , `` Ximenez-Vargas Ballet Espagnol '' on Feb. 2 ; ;		the large ball , which we had seen on the floor , crashed right through the table because it was made of steel .	the large sphere crashed right through the bench because  it was made of steel .	The table was crashed through by the large ball because it was made of steel .	it	9	10	9	18	33	the large ball	the large sphere	the table	the bench	A .		
The large ball crashed right through the table because  it was made of styrofoam .	Further , it has its work cut out stopping anarchy where it is now garrisoned . But it is no use . The large ball crashed right through the table because it was made of styrofoam . the Geraghtys' youngest daughter , Molly , bows in the Passavant Debutante Cotillion the next night . and talks on how their Christian faith can guide them in learning about and fighting Communism during high school and college days , by Ted Place , director of Greater Miami Youth for Christ , and Jon Braun , director of Campus Crusade for Christ .		the large ball , which you had seen on the floor , crashed right through the table because it was made of styrofoam .	the large sphere crashed right through the bench because  it was made of styrofoam .	The table was crashed through by the large ball because it was made of styrofoam .	it	9	10	9	18	31	the large ball	the large sphere	the table	the bench	B .		
John couldn't see the stage with Billy in front of him because he is so short .	Hirsch says that he has given the role certain qualities he has observed in the city toughs of the real world . The presentation was made before several hundred persons at the annual meeting of the League at Olney Hall , College of Marin , Kentfield . John couldn't see the stage with Billy in front of him because he is so short . Also on the bill at the Fifty-fifth Street is a nice ten-minute color film called `` Sunday In Greenwich Village '' , a tour of the haunts and joints . A 60 mm. mortar and a 57 mm. recoilless rifle owned by Lauchli were brought along .		john , who you know from last week's meeting with larry , couldn't see the stage with billy in front of him because he is so short .	luke couldn't see the stage with adam in front of him because he is so short .	The stage couldn't be seen by John with Billy in front of him because he is so short .	he	12	14	12	23	59	john	luke	billy	adam	A .		
John couldn't see the stage with Billy in front of him because he is so tall .	While he was at it , the philosopher of the Kremlin contributed an additional assist to the rule of reason by bellowing at those in the west who can't appreciate coexistence thru suicide . John received a promotion in his firm . John couldn't see the stage with Billy in front of him because he is so tall . A generation ago there were plenty of people who appreciated antiques and fine reproductions . Contemporary furniture that is neither Danish nor straight-line modern but has sculptured pattern , many design facets , warmth , dignity and an effect of utter comfort and livability .		john , which you had seen at last week's meeting with larry , couldn't see the stage with billy in front of him because he is so tall .	luke couldn't see the stage with adam in front of him because he is so tall .	The stage couldn't be seen by John with Billy in front of him because he is so tall .	he	12	14	12	24	54	john	luke	billy	adam	B .		
Tom threw his schoolbag down to Ray after  he reached the top of the stairs .	The hotel owner shrugged . The Kennedy plan alone would boost the base to $5,000 a year and the payroll tax to 6.5 per cent -- 3.25 per cent each . Tom threw his schoolbag down to Ray after he reached the top of the stairs . and it was filled then as now by quarreling tribes with no political or historical unity . Confidence in the state's economic future is reflected in the Georgia Power Company's record construction budget for this year .		tom , who you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the top of the stairs .	ted threw his schoolbag down to clark after  he reached the top of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the top of the stairs .	he	8	10	8	19	39	tom	ted	ray	clark	A		
Tom threw his schoolbag down to Ray after  he reached the bottom of the stairs .	Mantle , Maris , and Bob Cerv , a utility outfielder , share an apartment in Jamaica , Long Island , not far from New York International Airport . If most of them weren't exactly specific -- well , that's the way it is in life , I guess . Tom threw his schoolbag down to Ray after he reached the bottom of the stairs . Putting on local musicians at this place in the program serves a triple purpose : it saves the top flight jazz men from being wasted in this unenviable spot , when the audience is cold , restless , and in flux ; ; Lucius Beebe's book , `` Mr. Pullman's Elegant Palace Car '' , fills us with nostalgia , recalling days when private cars and Pullmans were extra wonderful , with fine woodwork , craftsmanship in construction , deep carpets and durable upholstery .		tom , who you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the bottom of the stairs .	ted threw his schoolbag down to clark after  he reached the botted of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the bottom of the stairs .	he	8	10	8	19	58	tom	ted	ray	clark	B		
Although they ran at about the same speed ,  Sue beat Sally because   she had such a good start .	Then off to a remote place in an underdeveloped country where the diet , culture , language and living conditions will be different . The Eisenhower budget was simultaneously inadequate in its provisions and yet extravagant in its projections of revenue to be received . Although they ran at about the same speed , Sue beat Sally because she had such a good start . Both Miss Garson and her oilman-rancher husband are active supporters of Boys Clubs of America and patrons of the vivid art and opera colony that flourishes in New Mexico . Of 1,253 issues traded , 695 advanced and 354 declined .		although they ran at about the same speed , sue , which he had seen pass through with patty , beat sally because she had such a good start .	although they ran at about the same speed ,  fanny beat dana because   she had such a good start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a good start .	she	13	15	13	23	58	sue	fanny	sally	dana	A		
Although they ran at about the same speed ,  Sue beat Sally because   she had such a bad start .	A Lebanese Moslem told about its existence and application in the Islamic tradition as the `` divine law '' , while a C.A.I.P. member who has been working in close association with delegates of the new U.N. nations told of its widespread recognition on the African continent . Their answer was : it can be done , and we will do it . Although they ran at about the same speed , Sue beat Sally because she had such a bad start . For this story of an American couple who meet and fall in love in Israel , Mr. Herman has written songs that are warmly melodious and dance music that sparkles . He birdied the 13th , the 15th and the 18th -- five birdies , one bogey and 12 pars for a 68 .		although they ran at about the same speed , sue , which you had seen pass through with patty , beat sally because she had such a bad start .	although they ran at about the same speed ,  fanny beat dana because   she had such a bad start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a bad start .	she	13	15	13	23	76	sue	fanny	sally	dana	B		
The sculpture rolled off the shelf because   it wasn't anchored .	How far that pedimented and pillared style has shed its influence Mr. Sansom reminds us thus : He does not seem to have caught the subtleties of the man . The sculpture rolled off the shelf because it wasn't anchored . Within an easy walk from Capitol Hill where Pennsylvania Avenue comes together with Constitution Avenue , begins a series of great federal buildings , some a block long and all about seven-stories high . But he insisted that it be housed in a special museum .		the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't anchored .	the mold rolled off the rack because   it wasn't anchored .	-	it	7	-	7	16	37	the sculpture	the mold	the shelf	the rack	A		
The sculpture rolled off the shelf because   it wasn't level .	Jokes , cartoons and cynics to the contrary , mothers-in-law make good friends . They predicted escalation , and escalation is what we are getting . The sculpture rolled off the shelf because it wasn't level . Of course , having this desire , I am very interested in education . The cast :		the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't level .	the mold rolled off the rack because   it wasn't level .	-	it	7	-	7	16	33	the sculpture	the mold	the shelf	the rack	B		
Sam's drawing was hung just above Tina's and   it did look much better with another one below it .	Jensen got only six hits in 46 at-bats for a batting average in the first 12 games . London , Feb. 9 Sam's drawing was hung just above Tina's and it did look much better with another one below it . Gets car number A long book heavily weighted with military technicalities , in this edition it is neither so long nor so technical as it was originally .		sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one below it .	arthur's drawing was hung just above molly's and   it did look much better with another one below it .	-	it	8	-	8	17	30	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	A		
Sam's drawing was hung just above Tina's and   it did look much better with another one above it .	A. F. Schmalzried , secretary ; ; The devil himself . Sam's drawing was hung just above Tina's and it did look much better with another one above it . Bea Morley , Jimmy Fazio , Jim O'Hare , Ralph Michaels , Bill and Evelyn Perry at the Escape . There followed the historic appropriations and budget fight , in which the General Assembly decided to tackle executive powers .		sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one above it .	arthur's drawing was hung just above molly's and   it did look much better with another one above it .	-	it	8	-	8	17	19	sam's drawing	arthur's drawing	tina's drawing	molly's drawing	B		
Anna did a lot better than her good friend Lucy on the test because   she had studied so hard .	Most of them were written between 1953 and 1960 and originally appeared in various magazines . Mr. Kennedy had been informed early in the day of the attempt to steal the plane , kept in touch throughout by telephone . Anna did a lot better than her good friend Lucy on the test because she had studied so hard . They accuse their enemies of precisely the crimes of which they themselves are most guilty . The trustees will prepare an annual budget for the college and submit it to the board of school estimate .		anna , who you know from our brunch with sally last week , did a lot better than her good friend lucy on the test because she had studied so hard .	heather did a lot better than her good friend lara on the test because   she had studied so hard .	-	she	14	-	14	26	54	anna	heather	lucy	lara	A		
Anna did a lot worse than her good friend Lucy on the test because   she had studied so hard .	The panels will stay up until they are replaced next summer . Miss Mary Ross of Baird was maid of honor , and bridesmaids were Miss Pat Dawson of Austin , Mrs. Howard M. Dean of Hinsdale , Ill. , and Mrs. James A. Reeder of Shreveport , La. . Anna did a lot worse than her good friend Lucy on the test because she had studied so hard . What to buy out of the year's grist of nearly 15,000 book titles ? ? Although he never gets to play while the clock is running , he gets a big kick -- several every Saturday , in fact -- out of football .		anna , which he had seen at the brunch with sally last week , did a lot worse than her good friend lucy on the test because she had studied so hard .	heather did a lot worse than her good friend lara on the test because   she had studied so hard .	-	she	14	-	14	27	64	anna	heather	lucy	lara	B		
The firemen arrived after the police because   they were coming from so far away .	Before her chore was finished she was rescuing wind-blown sheets of music , trundling microphones about the stage , helping to move the piano and otherwise joining in the informal atmosphere . Moritz said Monday his leg feels fine and , as a result , he hopes to start practicing field goals this week . The firemen arrived after the police because they were coming from so far away . -- Richard J. Hughes made his Morris County debut in his bid for the Democratic gubernatorial nomination here last night with a pledge `` to carry the issues to every corner of the state '' . Mr. White is bluntly frank in his personal opinions .		the firemen , which you had seen rush past the red delivery van , arrived after the police because they were coming from so far away .	the engineman arrived after the cops because   they were coming from so far away .	-	they	7	-	7	19	62	the firemen	the engineman	the police	the cops	A		
The firemen arrived before the police because   they were coming from so far away .	But there is reason in all things , and in this country the heathenish cult of the motor-car is exceeding all bounds in its demands . His bel canto style gave the performance a special distinction . The firemen arrived before the police because they were coming from so far away . But I have compared its text with already published commentaries on the 1960 series of Godkin lectures at Harvard , from which the book was derived , and I can with confidence challenge the gist of C. P. Snow's incautious tale '' . In opening , D. Arthur Connelly , assistant United States attorney , read the indictment , but made no comments .		the firemen , which she had seen rush past the red delivery van , arrived before the police because they were coming from so far away .	the engineman arrived before the cops because   they were coming from so far away .	-	they	7	-	7	19	44	the firemen	the engineman	the police	the cops	B		
Frank was upset with Tom because the toaster  he had bought from him didn't work .	Unfortunately , `` Poised For Violence '' was not the happiest vehicle with which to make the point . Cutting short a holiday at Hong Kong , the aircraft carriers Lexington and Bennington steamed off into the South China Sea , accompanied by a swarm of destroyers , plus troopships loaded with marines . Frank was upset with Tom because the toaster he had bought from him didn't work . The prospects look great . Mrs. A. Voorhees Anderson entertained at a luncheon at her home , on Monday .		frank , which we had seen at jon's bar mitzvah , was upset with tom because the toaster he had bought from him didn't work .	freddy was upset with travis because the toaster  he had bought from him didn't work .	-	he	8	-	8	18	62	frank	freddy	tom	travis	A		
Frank was upset with Tom because the toaster  he had sold him didn't work .	-- and His exaltation to the right hand of God . Mrs. McIntosh Buell will leave Sunday to return to her home in Santa Barbara , Calif. , after spending a week in her Polo Grounds home . Frank was upset with Tom because the toaster he had sold him didn't work . Hirsch says that he has given the role certain qualities he has observed in the city toughs of the real world . But the tardiness of the administration in making the dedication has caused legislators to suspect the tax bill was related more directly to an over-all shortage of cash than to segregation .		frank , which we had seen at jon's bar mitzvah , was upset with tom because the toaster he had sold him didn't work .	freddy was upset with travis because the toaster  he had sold him didn't work .	-	he	8	-	8	3	46	frank	freddy	tom	travis	B		
Jim yelled at Kevin because  he was so upset .	Can you visualize being stranded with him on a desert island for years and years and still find him fascinating ? ? Otherwise , the program included , as on Thursday , the Taras-Tchaikovsky `` Design For Strings '' , the Dollar-Britten `` Divertimento '' , the Dollar-De Banfield `` The Duel '' and the pas de deux from `` The Nutcracker '' . Jim yelled at Kevin because he was so upset . What is needed , Philip Morrison writes in The Cornell Daily Sun ( October 26 ) is a discontinuity . While details are still to be worked out , Ratcliff said he expects to tell home folks in Dallas why he thinks Berry's proposed constitutional amendment should be rejected .		jim , who we know from last month's squash game against bryan , yelled at kevin because he was so upset .	jerry yelled at larry because  he was so upset .	Kevin was yelled at by Jim because he was so upset .	he	5	7	5	17	69	jim	jerry	kevin	larry	A		
Jim comforted Kevin because  he was so upset .	NBC had gathered a lot of historical material which it was eager to share . . Jim comforted Kevin because he was so upset . The vivacity of the masquers' party at Leonato's palace , with the Spanish motif in the music and dancing in honor of the visiting Prince of Arragon , cast a spell of delight . -- The statewide meeting of war mothers Tuesday in Salem will hear a greeting from Gov. Mark Hatfield .		jim , who we know from last month's squash game against bryan , comforted kevin because he was so upset .	jerry comforted larry because  he was so upset .	Kevin was comforted by Jim because he was so upset .	he	4	6	4	16	20	jim	jerry	kevin	larry	B		
The sack of potatoes had been placed above the bag of flour ,  so  it had to be moved first .	And this was before he began to play his startlingly beautiful jazz . The difference is that the masters took the bare frame of a plot and filled it with their own world ; ; The sack of potatoes had been placed above the bag of flour , so it had to be moved first . Family Service could not open its doors to a single family without the financial support of the United Givers Fund . Engaging in such a conspiracy was an act of mercy by the giants .		the sack of potatoes , that is mentioned in the list of groceries  , had been placed above the bag of flour , so it had to be moved first .	the package of potatoes had been placed above the packet of flour ,  so  it had to be moved first .	-	it	13	-	14	24	48	the sack of potatoes	the package of potatoes	the bag of flour	the packet of flour	A		
The sack of potatoes had been placed below the bag of flour ,  so  it had to be moved first .	Armed with letters from embassies to ministers of countries , especially those in the near and far east , Mrs. Geraghty `` will beat the bushes for oriental talent '' . First , Honolulu The sack of potatoes had been placed below the bag of flour , so it had to be moved first . The City Planning Commission on Tuesday approved agreements between two redevelopers and the Redevelopment Authority for the purchase of land in the $300,000,000 Eastwick Redevelopment Area project . The Living Room has another scoop : Jane Russell will make one of her rare night club singing appearances there , opening Jan. 22 .		the sack of potatoes , that is mentioned in the list of groceries , had been placed below the bag of flour , so it had to be moved first .	the package of potatoes had been placed below the packet of flour ,  so  it had to be moved first .	-	it	13	-	14	24	47	the sack of potatoes	the package of potatoes	the bag of flour	the packet of flour	B		
Pete envies Martin although  he is very successful .	Ritchie walked up to him at the magazine stand . `` He almost brought it back all the way '' . Pete envies Martin although he is very successful . `` That was before I studied law . `` To be quite alone where there are no other human beings is sharply exhilarating ; ;		pete , who you know from an event at bob's office , envies martin although he is very successful .	dick envies gareth although  he is very successful .	Martin is envied by Pete although he is very successful .	he	4	6	4	15	25	pete	dick	martin	gareth	A		
Pete envies Martin because  he is very successful .	Played mostly on the freeways around Los Angeles , it goes like this : I could talk to you for three hours and still not be able to give you all of our plans '' ! ! Pete envies Martin because he is very successful . Public sentiment for conserving our rich natural heritage is growing . South Philadelphia High's principal added that the current delay was caused by the `` pressure '' of a movie that the toneless lad was making .		pete , who you know from an event at bob's office , envies martin because he is very successful .	dick envies gareth because  he is very successful .	Martin is envied by Pete because he is very successful .	he	4	6	4	3	41	pete	dick	martin	gareth	B		
The older students were bullying the younger ones ,  so we punished  them .	Field does the planning for the machine operations and fiscal processes and the adapting of the data processing system to new programs as they are made necessary by legislative and policy changes . Patience needed The older students were bullying the younger ones , so we punished them . Insuring that the countries have a freedom of choice , he said , was the biggest detriment to the Soviet Union . They will live in Corpus Christi .		the older students , who she had discussed with the teacher , were bullying the younger ones , so we punished them .	the older pupils were bullying the younger ones ,  so we punished  them .	The younger students were being bullied by the older ones , so we punished them .	them	12	14	12	21	47	the older students	the older pupils	the younger students	the younger pupils	A		
The older students were bullying the younger ones ,  so we rescued them .	Olivetti took over Underwood , the U.S. typewriter maker , in late 1959 . Pony Poindexter , alto sax ; ; The older students were bullying the younger ones , so we rescued them . To step up the denomination's program , the Rev. Mr. Brandt suggested the vision of 8,000 new Assemblies of God churches in the next 10 years . Two of these are in or near Dallas and the others away from the vicinity .		the older students , who she had discussed with the teacher , were bullying the younger ones , so we rescued them .	the older pupils were bullying the younger ones ,  so we rescued them .	The younger students were being bullied by the older ones , so we rescued them .	them	12	14	12	21	33	the older students	the older pupils	the younger students	the younger pupils	B		
I poured water from the bottle into the cup until   it was empty .	40 & 8 Voiture , No. 25 , Musician's Union , Local 99 . But now the task is completed and the uncertainty resolved with the opening of the English-dialogue picture at the Music Hall yesterday . I poured water from the bottle into the cup until it was empty . At a recent meeting of the Women's Association of the Trumbull Ave. United Presbyterian Church , considerable use was made of material from The Detroit News on the King James version of the New Testament versus the New English Bible . In recent days there have been extensive lamentations over the absence of original drama on television , but not for years have many regretted the passing of new plays on radio .		i poured water from the bottle , which he had seen beside the six-pack of beer , into the cup until it was empty .	i poured water from the jar into the glass until   it was empty .	Water was poured from the bottle into the cup by me until it was empty .	it	10	12	10	21	47	the bottle	the jar	the cup	the glass	A		
I poured water from the bottle into the cup until   it was full .	On the third occasion -- another Big Four summit session at Paris a year ago -- there was no problem of an illusory `` spirit '' . At a recent meeting of the Women's Association of the Trumbull Ave. United Presbyterian Church , considerable use was made of material from The Detroit News on the King James version of the New Testament versus the New English Bible . I poured water from the bottle into the cup until it was full . Pianists who are serious about their work are likely to know the interesting material contained in Schubert's Sonatas . ) .		i poured water from the bottle , which she had seen beside the six-pack of beer , into the cup until it was full .	i poured water from the jar into the glass until   it was full .	Water was poured from the bottle into the cup by me until it was full .	it	10	12	10	21	78	the bottle	the jar	the cup	the glass	B		
