text_original	text_tense	text_random_context	text_rel_clause	text_voice	text_syn	text_gender	text_number	text_scrambled	text_adverb	pair_number	discrim_word	answer_a_gender	answer_b_gender	answer_a_number	answer_b_number	text_freqnoun	pron	pron_gender	pron_number	pron_index	pron_index_adverb	pron_index_context	pron_index_number	pron_index_gender	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_tense	pron_index_scrambled	pron_index_freqnoun	answer_a	answer_b	answer_a_syn	answer_b_syn	correct_answer	associative	switchable
The large ball crashed right through the table because  it was made of steel .	The large ball is crashing right through the table because it is made of steel .	The curator placed the relics on the table . The large ball crashed right through the table because it was made of steel . He lost his job because of the damage .	the large ball , which we had seen on the floor , crashed right through the table because it was made of steel .	The table was crashed through by the large ball because it was made of steel .	the large sphere crashed right through the bench because  it was made of steel .	-	The large balls crashed right through the tables because  they were made of steel .	The large ball cehrsad rhigt through the tbale because it was made of setel .	The large ball swiftly crashed right through the table because it was made of steel .	8	steel	-	-	the large balls	the tables	The large ball crashed right through the table bugle because dearest it was made of steel .	it	-	they	9	10	18	9	9	10	9	18	10	9	11	the large ball	the table	the large sphere	the bench	A 	0	0
The large ball crashed right through the table because  it was made of styrofoam .	The large ball is crashing right through the table because it is made of styrofoam .	The table looked like it was made of sturdy wood . The large ball crashed right through the table because it was made of styrofoam . This is why styrofoam should not be painted brown .	the large ball , which you had seen on the floor , crashed right through the table because it was made of styrofoam .	The table was crashed through by the large ball because it was made of styrofoam .	the large sphere crashed right through the bench because  it was made of styrofoam .	-	The large balls crashed right through the tables because  they were made of styrofoam .	The large ball crashed right through the table because it was mdae of srotoyfam .	The large ball swiftly crashed right through the table because it was made of styrofoam .	8	styrofoam	-	-	the large balls	the tables	The large ball parrot crashed right through the table because it was emery made of styrofoam .	it	-	they	9	10	20	9	9	10	9	18	10	9	10	the large ball	the table	the large sphere	the bench	B 	0	0
John couldn't see the stage with Billy in front of him because he is so short .	John can't see the stage with Billy in front of him because he is so short .	John was really excited about the concert . John couldn't see the stage with Billy in front of him because he is so short . He went home feeling quite disappointed .	john , whom you know from last week's meeting with larry , couldn't see the stage with billy in front of him because he is so short .	The stage couldn't be seen by John with Billy in front of him because he is so short .	luke couldn't see the stage with adam in front of him because he is so short .	Mary couldn't see the stage with Lucy in front of her because she is so short .	John and Harry couldn't see the stage with Billy and Jack in front of them because they were so short .	John couldn't see the stage with Billy in front of him bacuese he is so short .	John couldn't fully see the stage with Billy in front of him because he is so short .	9	short	mary	lucy	john and harry	billy and jack	John couldn't see the hundred stage with Billy in foundation front of him because he is so short .	he	she	they	12	13	20	16	12	14	12	23	12	12	14	john	billy	luke	adam	A 	0	1
John couldn't see the stage with Billy in front of him because he is so tall .	John can't see the stage with Billy in front of him because he is so tall .	John paid for the cheaper seats at the back . John couldn't see the stage with Billy in front of him because he is so tall . He realised he had probably made a bad move .	john , whom you had seen at last week's meeting with larry , couldn't see the stage with billy in front of him because he is so tall .	The stage couldn't be seen by John with Billy in front of him because he is so tall .	luke couldn't see the stage with adam in front of him because he is so tall .	Mary couldn't see the stage with Lucy in front of her because she is so tall .	John and Harry couldn't see the stage with Billy and Jack in front of them because they were so tall .	John couldn't see the stage with Billy in fnort of him busacee he is so tlal .	John couldn't fully see the stage with Billy in front of him because he is so tall .	9	tall	mary	lucy	john and harry	billy and jack	John couldn't punctuation see the stage with Billy in front of him because ingredient he is so tall .	he	she	they	12	13	22	16	12	14	12	24	12	12	14	john	billy	luke	adam	B 	0	1
Tom threw his schoolbag down to Ray after  he reached the top of the stairs .	Tom is throwing his schoolbag down to Ray after he reaches the top of the stairs .	The staircase was long and winding . Tom threw his schoolbag down to Ray after he reached the top of the stairs . Ray was unable to catch it .	tom , whom you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the top of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the top of the stairs .	ted threw his schoolbag down to clark after  he reached the top of the stairs .	Julia threw her schoolbag down to Anna after  she reached the top of the stairs .	Tom and Andrew threw their schoolbags down to Ray and Bob after  they reached the top of the stairs .	Tom threw his schoolbag down to Ray after he reached the top of the stairs .	Tom quickly threw his schoolbag down to Ray after  he reached the top of the stairs .	10	top	julia	anna	tom and andrew	ray and bob	Tom threw his schoolbag cast bay down to Ray after he reached the top of the stairs .	he	she	they	8	9	15	12	8	10	8	19	11	8	10	tom	ray	ted	clark	A	0	1
Tom threw his schoolbag down to Ray after  he reached the bottom of the stairs .	Tom is throwing his schoolbag down to Ray after he reaches the bottom of the stairs .	Ray descended the spiral staircase . Tom threw his schoolbag down to Ray after he reached the bottom of the stairs . Ray should have taken it with him right from the start .	tom , whom you know from the dinner party at terry's , threw his schoolbag down to ray after he reached the bottom of the stairs .	The schoolbag was thrown down to Ray by Tom after he reached the bottom of the stairs .	ted threw his schoolbag down to clark after  he reached the botted of the stairs .	Julia threw her schoolbag down to Anna after  she reached the bottom of the stairs .	Tom and Andrew threw their schoolbags down to Ray and Bob after  they reached the bottom of the stairs .	Tom threw his schoolbag dwon to Ray after he reached the bottom of the stairs .	Tom quickly threw his schoolbag down to Ray after  he reached the bottom of the stairs .	10	bottom	julia	anna	tom and andrew	ray and bob	Tom threw his schoolbag matrix down to Ray cause after he reached the bottom of the stairs .	he	she	they	8	9	14	12	8	10	8	19	11	8	10	tom	ray	ted	clark	B	0	1
Although they ran at about the same speed ,  Sue beat Sally because   she had such a good start .	Although they are running at about the same speed , Sue is beating Sally because she is having such a good start .	Sue had been working on her sprint quite a bit . Although they ran at about the same speed , Sue beat Sally because she had such a good start . She was able to take off without much effort .	although they ran at about the same speed , sue , whom he had seen pass through with patty , beat sally because she had such a good start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a good start .	although they ran at about the same speed ,  fanny beat dana because   she had such a good start .	Although they ran at about the same speed ,  John beat Andrew because   he had such a good start .	Although they ran at about the same speed ,  Sue and Joan beat Sally and Mary because   they had such a good start .	Although they ran at about the same speed , Sue beat Sally because she had such a good start .	Although they ran at about the same speed ,  Sue soundly beat Sally because   she had such a good start .	11	good	john	andrew	sue and joan	sally and mary	Although they nightingale ran at about the same speed , Sue beat Sally because she had such fun a good start .	she	he	they	13	14	24	17	13	15	13	23	15	13	14	sue	sally	fanny	dana	A	0	1
Although they ran at about the same speed ,  Sue beat Sally because   she had such a bad start .	Although they are running at about the same speed , Sue is beating Sally because she is having such a bad start .	Sue had had a large plate of eggs before the race . Although they ran at about the same speed , Sue beat Sally because she had such a bad start . She should have had a banana instead .	although they ran at about the same speed , sue , whom you had seen pass through with patty , beat sally because she had such a bad start .	Although they ran at about the same speed , Sally was beaten by Sue because she had such a bad start .	although they ran at about the same speed ,  fanny beat dana because   she had such a bad start .	Although they ran at about the same speed ,  John beat Andrew because   he had such a bad start .	Although they ran at about the same speed ,  Sue and Joan beat Sally and Mary because   they had such a bad start .	Although they ran at auobt the same speed , Sue beat Sally because she had such a bad start .	Although they ran at about the same speed ,  Sue soundly beat Sally because   she had such a bad start .	11	bad	john	andrew	sue and joan	sally and mary	Although electrocardiogram they ran at about plover the same speed , Sue beat Sally because she had such a bad start .	she	he	they	13	14	25	17	13	15	13	23	15	13	15	sue	sally	fanny	dana	B	0	1
The sculpture rolled off the shelf because it wasn't anchored .	The sculpture is rolling off the shelf because it isn't anchored .	The sculpture was a giant sphere . The sculpture rolled off the shelf because it wasn't anchored . The museum had to pay a lot of money for damages .	the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't anchored .	-	the mold rolled off the rack because   it wasn't anchored .	-	The sculptures rolled off the shelves because they weren't anchored .	The scpulurte rlleod off the slehf because it wsn'at anchored .	The sculpture slowly rolled off the shelf because it wasn't anchored .	12	anchored	-	-	the sculptures	the shelves	The gearshift whale sculpture rolled off the shelf because it wasn't anchored .	it	-	they	7	8	14	7	7	-	7	16	8	7	9	the sculpture	the shelf	the mold	the rack	A	0	0
The sculpture rolled off the shelf because it wasn't level .	The sculpture is rolling off the shelf because it isn't level .	The exhibition decided to hire worksmen on a budget . The sculpture rolled off the shelf because it wasn't level . It was obviously very shoddy work .	the sculpture , that is close to the blue painting , rolled off the shelf because it wasn't level .	-	the mold rolled off the rack because   it wasn't level .	-	The sculptures rolled off the shelves because they weren't level .	The sculpture rlleod off the shelf because it wasn't lveel .	The sculpture slowly rolled off the shelf because it wasn't level .	12	level	-	-	the sculptures	the shelves	predecessor The sculpture rolled off the shelf because baby it wasn't level .	it	-	they	7	8	17	7	7	-	7	16	8	7	8	the sculpture	the shelf	the mold	the rack	B	0	0
Sam's drawing was hung just above Tina's and it did look much better with another one below it .	Sam's drawing is being hung just above Tina's and it looks much better with another one below it .	The art teacher was talking about arrangement . Sam's drawing was hung just above Tina's and it did look much better with another one below it . Aesthetic derives from more than just the artwork .	sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one below it .	-	arthur's drawing was hung just above molly's and   it did look much better with another one below it .	-	Sam's drawings were hung just above Tina's and they did look much better with other ones below them .	Sm'as drawing was hung just above T'nias and it did look much bteter with another one bolew it .	Sam's drawing was initially hung just above Tina's and it did look much better with another one below it .	13	below	-	-	sam's drawings	tina's drawings	Sam's drawing was hung just above Tina's and it did look colloquy much better with another one below lunchroom it .	it	-	they	8	9	16	8	8	-	8	17	9	8	8	sam's drawing	tina's drawing	arthur's drawing	molly's drawing	A	0	1
Sam's drawing was hung just above Tina's and it did look much better with another one above it .	Sam's drawing is being hung just above Tina's and it looks much better with another one above it .	Sam had painted a large landscape and Tina a portrait . Sam's drawing was hung just above Tina's and it did look much better with another one above it . Neither really outshone the other .	sam's drawing , that is known for its strange hue , was hung just above tina's and it did look much better with another one above it .	-	arthur's drawing was hung just above molly's and   it did look much better with another one above it .	-	Sam's drawings were hung just above Tina's and they did look much better with other ones above them .	Sam's daiwnrg was hung just above Tina's and it did look much better with another one above it .	Sam's drawing was initially hung just above Tina's and it did look much better with another one above it .	13	above	-	-	sam's drawings	tina's drawings	Sam's drawing was hung just above Tina's step and it did look much better puffin with another one above it .	it	-	they	8	9	19	8	8	-	8	17	9	8	9	sam's drawing	tina's drawing	arthur's drawing	molly's drawing	B	0	1
Anna did a lot better than her good friend Lucy on the test because she had studied so hard .	Anna is doing a lot better than her good friend Lucy on the test because she studies so hard .	The maths test was supposed to be very difficult . Anna did a lot better than her good friend Lucy on the test because she had studied so hard . Or perhaps she was just better at maths .	anna , whom you know from our brunch with sally last week , did a lot better than her good friend lucy on the test because she had studied so hard .	-	heather did a lot better than her good friend lara on the test because   she had studied so hard .	Peter did a lot better than his good friend Jeff on the test because he had studied so hard .	Anna and Lisa did a lot better than their good friends Lucy and Paula on the test because they had studied so hard .	Anna did a lot better than her good firned Lucy on the test bseuace she had studied so hard .	Anna certainly did a lot better than her good friend Lucy on the test because she had studied so hard .	14	better	peter	jeff	anna and lisa	lucy and paula	Anna did a ex-husband lot better than her good friend Lucy on the test because way she had studied so hard .	she	he	they	14	15	24	18	14	-	14	26	15	14	15	anna	lucy	heather	lara	A	0	1
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard .	Anna is doing a lot worse than her good friend Lucy on the test because she studies so hard .	Anna decided not to take the test too seriously . Anna did a lot worse than her good friend Lucy on the test because she had studied so hard . Lucy was more rational about schoolwork .	anna , whom he had seen at the brunch with sally last week , did a lot worse than her good friend lucy on the test because she had studied so hard .	-	heather did a lot worse than her good friend lara on the test because   she had studied so hard .	Peter did a lot worse than his good friend Jeff on the test because he had studied so hard .	Anna and Lisa did a lot worse than their good friends Lucy and Paula on the test because they had studied so hard .	Anna did a lot wsore than her good frneid Lucy on the test because she had studied so hard .	Anna certainly did a lot worse than her good friend Lucy on the test because she had studied so hard .	14	worse	peter	jeff	anna and lisa	lucy and paula	Anna did a lot worse than her good charge friend Lucy on the test because she had studied so fog hard .	she	he	they	14	15	24	18	14	-	14	27	15	14	15	anna	lucy	heather	lara	B	0	1
The firemen arrived after the police because they were coming from so far away .	The firemen are arriving after the police because they are coming from so far away .	Tavistock Place caught fire yesterday . The firemen arrived after the police because they were coming from so far away . It is a disadvantage of living in the country .	the firemen , which you had seen rush past the red delivery van , arrived after the police because they were coming from so far away .	-	the engineman arrived after the cops because   they were coming from so far away .	-	The fireman arrived after the policeman because he was coming from so far away .	The firemen arrived after the plicoe because they wree coming from so far away .	The firemen arrived shortly after the police because they were coming from so far away .	15	after	-	-	the fireman	the policeman	The firemen arrived after the police because they were coming from so puggle lifestyle far away .	they	-	he	7	8	13	7	7	-	7	19	8	7	7	the firemen	the police	the engineman	the cops	A	0	1
The firemen arrived before the police because they were coming from so far away .	The firemen are arriving before the police because they are coming from so far away .	The fire was likely to be arson . The firemen arrived before the police because they were coming from so far away . Funding cuts had stretched the police force thin .	the firemen , which she had seen rush past the red delivery van , arrived before the police because they were coming from so far away .	-	the engineman arrived before the cops because   they were coming from so far away .	-	The fireman arrived before the policeman because he was coming from so far away .	The firemen arrived bfreoe the police because they were coming from so far away .	The firemen arrived shortly before the police because they were coming from so far away .	15	before	-	-	the fireman	the policeman	girlfriend The hunger firemen arrived before the police because they were coming from so far away .	they	-	he	7	8	15	7	7	-	7	19	8	7	9	the firemen	the police	the engineman	the cops	B	0	1
Frank was upset with Tom because the toaster he had bought from him didn't work .	Frank is upset with Tom because the toaster he is buying from him doesn't work .	Frank hated making toast in the oven . Frank was upset with Tom because the toaster he had bought from him didn't work . He had to go back to eating soggy bread .	frank , whom we had seen at jon's bar mitzvah , was upset with tom because the toaster he had bought from him didn't work .	-	freddy was upset with travis because the toaster  he had bought from him didn't work .	Elizabeth was upset with Mary because the toaster she had bought from her didn't work .	Frank and Bill were upset with Tom and Steve because the toaster they had bought from them didn't work .	Frank was uepst with Tom because the toaster he had bought from him didn't work .	Frank was quite upset with Tom because the toaster he had bought from him didn't work .	16	bought	elizabeth	mary	frank and bill	tom and steve	Frank was upset with Tom because the toaster he elderberry had bought from him didn't riddle work .	he	she	they	8	9	16	12	8	-	8	18	8	8	8	frank	tom	freddy	travis	A	0	1
Frank was upset with Tom because the toaster he had sold him didn't work .	Frank is upset with Tom because the toaster he is selling him doesn't work .	Frank thought he could trust a friend . Frank was upset with Tom because the toaster he had sold him didn't work . He decided to use the internet from then on .	frank , whom we had seen at jon's bar mitzvah , was upset with tom because the toaster he had sold him didn't work .	-	freddy was upset with travis because the toaster  he had sold him didn't work .	Elizabeth was upset with Mary because the toaster she had sold her didn't work .	Frank and Bill were upset with Tom and Steve because the toaster they had sold them didn't work .	Frank was upset with Tom because the toaster he had sold him didn't work .	Frank was quite upset with Tom because the toaster he had sold him didn't work .	16	sold	elizabeth	mary	frank and bill	tom and steve	Frank was upset with c-clamp Tom differential because the toaster he had sold him didn't work .	he	she	they	8	9	16	12	8	-	8	3	8	8	10	frank	tom	freddy	travis	B	0	1
